Week,5xxx,3xxC,3xxT,Inven
201901,9436.0,,,9436.0
201902,9058.0,,96768.0,105826.0
201903,898.0,163675.0,68589.0,233162.0
201904,30760.0,280385.0,74685.0,385830.0
201905,577.0,274289.0,97818.0,372684.0
201906,30817.0,221294.0,152133.0,404244.0
201907,577.0,137904.0,68161.0,206642.0
201908,57.0,129716.0,31775.0,161548.0
201909,,130079.0,60061.0,190140.0
201910,,101793.0,111491.0,213284.0
201911,,94781.0,44287.0,139068.0
201912,,261241.0,48625.0,309866.0
201913,,310160.0,27489.0,337649.0
201914,6048.0,286759.0,58304.0,351111.0
201915,30240.0,197944.0,60866.0,289050.0
201916,45360.0,185295.0,54443.0,285098.0
201917,,248115.0,13093.0,261208.0
201918,,290891.0,32749.0,323640.0
201919,,359115.0,56163.0,415278.0
201920,15120.0,336055.0,92713.0,443888.0
201921,,221116.0,123709.0,344825.0
201922,30240.0,285308.0,143658.0,459206.0
201923,,220191.0,71718.0,291909.0
201924,,219917.0,98300.0,318217.0
201925,,291115.0,163478.0,454593.0
201926,15120.0,347889.0,198642.0,561651.0
201927,,310205.0,166385.0,476590.0
201928,45189.0,166426.0,178630.0,390245.0
201929,207.0,206830.0,31133.0,238170.0
201930,15327.0,247017.0,31133.0,293477.0
201931,15120.0,247017.0,106355.0,368492.0
201932,,325272.0,111607.0,436879.0
201933,,282010.0,81333.0,363343.0
201934,15876.0,282044.0,160755.0,458675.0
201935,11339.0,195871.0,155329.0,362539.0
201936,3402.0,222638.0,120825.0,346865.0
201937,24192.0,401894.0,73999.0,500085.0
201938,17388.0,595877.0,128770.0,742035.0
201939,28350.0,586499.0,186364.0,801213.0
201940,32130.0,532978.0,180594.0,745702.0
201941,756.0,453086.0,114478.0,568320.0
201942,756.0,295408.0,86934.0,383098.0
201943,756.0,268574.0,84330.0,353660.0
201944,4158.0,329648.0,66121.0,399927.0
201945,15876.0,457456.0,59855.0,533187.0
201946,756.0,628175.0,108466.0,737397.0
201947,756.0,583257.0,153359.0,737372.0
201948,756.0,503889.0,178142.0,682787.0
201949,756.0,514039.0,177609.0,692404.0
201950,756.0,402367.0,132191.0,535314.0
201951,756.0,453382.0,84971.0,539109.0
201952,756.0,548225.0,88526.0,637507.0
201953,,660010.0,130058.0,790068.0
201954,,704804.0,,704804.0
202001,756.0,,,756.0
202002,756.0,,181023.0,181779.0
202003,756.0,629709.0,165823.0,796288.0
202004,756.0,649121.0,224763.0,874640.0
202005,756.0,595718.0,122287.0,718761.0
202006,756.0,561899.0,157895.0,720550.0
202007,756.0,592359.0,151794.0,744909.0
202008,1334.0,626276.0,167474.0,795084.0
202009,1334.0,537030.0,106236.0,644600.0
202010,756.0,433067.0,169135.0,602958.0
202011,756.0,232891.0,90081.0,323728.0
202012,756.0,390616.0,84995.0,476367.0
202013,756.0,521018.0,137738.0,659512.0
202014,756.0,593509.0,167702.0,761967.0
202015,756.0,693780.0,178185.0,872721.0
202016,756.0,875869.0,277379.0,1154004.0
202017,756.0,828364.0,309908.0,1139028.0
202018,15876.0,841502.0,291756.0,1149134.0
202019,756.0,850568.0,339672.0,1190996.0
202020,30996.0,679967.0,374805.0,1085768.0
202021,31003.0,531332.0,342541.0,904876.0
202022,32130.0,461138.0,265306.0,758574.0
202023,1890.0,436128.0,128749.0,566767.0
202024,1137.0,355171.0,124421.0,480729.0
202025,756.0,569349.0,222314.0,792419.0
202026,756.0,600039.0,158539.0,759334.0
202027,756.0,670966.0,138284.0,810006.0
202028,756.0,769202.0,208714.0,978672.0
202029,756.0,846436.0,530214.0,1377406.0
202030,437.0,945581.0,391401.0,1337419.0
202031,151200.0,1088992.0,478727.0,1718919.0
202032,,1008402.0,486998.0,1495400.0
202033,,840283.0,628732.0,1469015.0
202034,13986.0,702949.0,479556.0,1196491.0
202035,,776196.0,404625.0,1180821.0
202036,0.0,843641.0,246815.0,1090456.0
202037,,969377.0,289294.0,1258671.0
202038,,921796.0,305102.0,1226898.0
202039,,815885.0,297620.0,1113505.0
202040,,799789.0,260944.0,1060733.0
202041,,783857.0,271314.0,1055171.0
202042,,599409.0,273349.0,872758.0
202043,15120.0,475433.0,124769.0,615322.0
202044,0.0,646295.0,99439.0,745734.0
202045,,779657.0,122692.0,902349.0
202046,90720.0,688083.0,259402.0,1038205.0
202047,,646901.0,277149.0,924050.0
202048,30240.0,678227.0,303857.0,1012324.0
202049,1134.0,827122.0,349598.0,1177854.0
202050,378.0,789573.0,199527.0,989478.0
202051,-15120.0,642683.0,191791.0,819354.0
202052,-15120.0,553609.0,78151.0,616640.0
202053,,429176.0,74685.0,503861.0
202054,,430909.0,88259.0,519168.0
202055,,422602.0,,422602.0
202102,,,87933.0,87933.0
202103,15120.0,515639.0,212452.0,743211.0
202104,,543389.0,125386.0,668775.0
202105,,736056.0,231640.0,967696.0
202106,60480.0,819596.0,545674.0,1425750.0
202107,30240.0,1896208.0,611140.0,2537588.0
202108,99178.0,2081146.0,577376.0,2757700.0
202109,,2348016.0,786240.0,3134256.0
202110,15120.0,1215380.0,336558.0,1567058.0
202111,,1154057.0,329912.0,1483969.0
202112,45360.0,1230948.0,437487.0,1713795.0
202113,45360.0,1246419.0,449024.0,1740803.0
202114,,1111362.0,434065.0,1545427.0
202115,30240.0,1160150.0,592563.0,1782953.0
202116,105840.0,1193339.0,406903.0,1706082.0
202117,,1002560.0,378066.0,1380626.0
202118,,853427.0,,853427.0
