Week,5xxx,3xxC,3xxT,Inven,Prev_Inven_1,Prev_Inven_2,Prev_Inven_3,Prev_Inven_4,Prev_Inven_5,Prev_Inven_6,Prev_Inven_7,Prev_Inven_8
201903,898.0,163675,68589,233162.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201904,30760.0,280385,74685,385830.0,233162.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201905,577.0,274289,97818,372684.0,385830.0,233162.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201906,30817.0,221294,152133,404244.0,372684.0,385830.0,233162.0,-999.0,-999.0,-999.0,-999.0,-999.0
201907,577.0,137904,68161,206642.0,404244.0,372684.0,385830.0,233162.0,-999.0,-999.0,-999.0,-999.0
201908,57.0,129716,31775,161548.0,206642.0,404244.0,372684.0,385830.0,233162.0,-999.0,-999.0,-999.0
201909,,130079,60061,190140.0,161548.0,206642.0,404244.0,372684.0,385830.0,233162.0,-999.0,-999.0
201910,,101793,111491,213284.0,190140.0,161548.0,206642.0,404244.0,372684.0,385830.0,233162.0,-999.0
201911,,94781,44287,139068.0,213284.0,190140.0,161548.0,206642.0,404244.0,372684.0,385830.0,233162.0
201912,,261241,48625,309866.0,139068.0,213284.0,190140.0,161548.0,206642.0,404244.0,372684.0,385830.0
201913,,310160,27489,337649.0,309866.0,139068.0,213284.0,190140.0,161548.0,206642.0,404244.0,372684.0
201914,6048.0,286759,58304,351111.0,337649.0,309866.0,139068.0,213284.0,190140.0,161548.0,206642.0,404244.0
201915,30240.0,197944,60866,289050.0,351111.0,337649.0,309866.0,139068.0,213284.0,190140.0,161548.0,206642.0
201916,45360.0,185295,54443,285098.0,289050.0,351111.0,337649.0,309866.0,139068.0,213284.0,190140.0,161548.0
201917,,248115,13093,261208.0,285098.0,289050.0,351111.0,337649.0,309866.0,139068.0,213284.0,190140.0
201918,,290891,32749,323640.0,261208.0,285098.0,289050.0,351111.0,337649.0,309866.0,139068.0,213284.0
201919,,359115,56163,415278.0,323640.0,261208.0,285098.0,289050.0,351111.0,337649.0,309866.0,139068.0
201920,15120.0,336055,92713,443888.0,415278.0,323640.0,261208.0,285098.0,289050.0,351111.0,337649.0,309866.0
201921,,221116,123709,344825.0,443888.0,415278.0,323640.0,261208.0,285098.0,289050.0,351111.0,337649.0
201922,30240.0,285308,143658,459206.0,344825.0,443888.0,415278.0,323640.0,261208.0,285098.0,289050.0,351111.0
201923,,220191,71718,291909.0,459206.0,344825.0,443888.0,415278.0,323640.0,261208.0,285098.0,289050.0
201924,,219917,98300,318217.0,291909.0,459206.0,344825.0,443888.0,415278.0,323640.0,261208.0,285098.0
201925,,291115,163478,454593.0,318217.0,291909.0,459206.0,344825.0,443888.0,415278.0,323640.0,261208.0
201926,15120.0,347889,198642,561651.0,454593.0,318217.0,291909.0,459206.0,344825.0,443888.0,415278.0,323640.0
201927,,310205,166385,476590.0,561651.0,454593.0,318217.0,291909.0,459206.0,344825.0,443888.0,415278.0
