Week,Sale,Var_Sale_1,Var_Sale_2,Var_Sale_3,Var_Sale_4,Var_Sale_5,Var_Sale_6,Var_Sale_7,Var_Sale_8,Var_Sale_9,Var_Sale_10,Var_Sale_11,Var_Sale_12,Post_Sale_1,Post_Sale_2,Post_Sale_3,Post_Sale_4,Post_Sale_5,Post_Sale_6,Post_Sale_7,Post_Sale_8,Post_Sale_9,Post_Sale_10,Post_Sale_11,Post_Sale_12,Prev_Sale_1,Prev_Sale_2,Prev_Sale_3,Prev_Sale_4,Prev_Sale_5,Prev_Sale_6,Prev_Sale_7,Prev_Sale_8,Prev_Sale_9,Prev_Sale_10,Prev_Sale_11,Prev_Sale_12
201901,30240.0,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,57600.0,57600.0,57600.0,0.0,0.0,0.0,38400.0,38400.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0,0.0,0.0,26838.0,10584.0,0.0
201902,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,57600.0,57600.0,57600.0,0.0,0.0,38400.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0,0.0,0.0,26838.0,10584.0
201903,8160.0,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,57600.0,57600.0,57600.0,0.0,22080.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,0.0,60480.0,60480.0,60480.0,60480.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0,0.0,0.0,26838.0
201904,0.0,22080.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,30240.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,0.0,60480.0,60480.0,60480.0,60480.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0,0.0,0.0
201905,30240.0,30240.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,60480.0,60480.0,60480.0,60480.0,0.0,0.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0,0.0
201906,60480.0,60480.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,60480.0,60480.0,60480.0,0.0,0.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0
201907,59229.0,60480.0,60480.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,60480.0,60480.0,0.0,0.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0
201908,0.0,60480.0,60480.0,60480.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,9240.0,30240.0,10240.0,0.0,60480.0,60480.0,60480.0,49480.0,90720.0,90720.0,90720.0,98880.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0
201909,-60480.0,9240.0,60480.0,60480.0,60480.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,30240.0,30240.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,98880.0,120960.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0
201910,4536.0,30240.0,30240.0,0.0,0.0,0.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,30240.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,98880.0,120960.0,120960.0,-60480.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0
201911,-23436.0,30240.0,30240.0,10240.0,0.0,0.0,0.0,60480.0,0.0,57600.0,57600.0,57600.0,57600.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,98880.0,120960.0,120960.0,120960.0,4536.0,-60480.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0
201912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60480.0,57600.0,57600.0,57600.0,45360.0,60480.0,75600.0,75600.0,60480.0,75600.0,75600.0,75600.0,75600.0,75600.0,75600.0,75600.0,-23436.0,4536.0,-60480.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0
201913,15876.0,45360.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,57600.0,57600.0,60480.0,75600.0,75600.0,60480.0,75600.0,105840.0,90720.0,105840.0,90720.0,90720.0,90720.0,90720.0,0.0,-23436.0,4536.0,-60480.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0
201914,49896.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,57600.0,75600.0,75600.0,60480.0,75600.0,105840.0,90720.0,105840.0,90720.0,90720.0,90720.0,90720.0,90720.0,15876.0,0.0,-23436.0,4536.0,-60480.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0
201915,39312.0,75600.0,75600.0,75600.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,54000.0,40000.0,75600.0,105840.0,90720.0,105840.0,90720.0,90720.0,90720.0,90720.0,90720.0,105840.0,49896.0,15876.0,0.0,-23436.0,4536.0,-60480.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0
201916,40845.0,54000.0,75600.0,75600.0,75600.0,60480.0,60480.0,60480.0,49480.0,60480.0,60480.0,60480.0,60480.0,45360.0,75600.0,105840.0,90720.0,105840.0,90720.0,90720.0,90720.0,90720.0,90720.0,105840.0,105840.0,39312.0,49896.0,15876.0,0.0,-23436.0,4536.0,-60480.0,0.0,59229.0,60480.0,30240.0,0.0
201917,45360.0,45360.0,40000.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,90720.0,90720.0,90720.0,90720.0,60480.0,105840.0,90720.0,105840.0,90720.0,90720.0,90720.0,90720.0,90720.0,105840.0,105840.0,105840.0,40845.0,39312.0,49896.0,15876.0,0.0,-23436.0,4536.0,-60480.0,0.0,59229.0,60480.0,30240.0
201918,30240.0,60480.0,75600.0,75600.0,75600.0,75600.0,75600.0,90720.0,90720.0,90720.0,90720.0,90720.0,90720.0,45360.0,66300.0,75600.0,75600.0,136080.0,45360.0,75600.0,60480.0,105840.0,105840.0,105840.0,105840.0,45360.0,40845.0,39312.0,49896.0,15876.0,0.0,-23436.0,4536.0,-60480.0,0.0,59229.0,60480.0
201919,45360.0,45360.0,105840.0,105840.0,105840.0,105840.0,105840.0,75600.0,90720.0,90720.0,90720.0,90720.0,90720.0,66300.0,75600.0,75600.0,136080.0,45360.0,75600.0,60480.0,105840.0,105840.0,105840.0,105840.0,105840.0,30240.0,45360.0,40845.0,39312.0,49896.0,15876.0,0.0,-23436.0,4536.0,-60480.0,0.0,59229.0
201920,60480.0,66300.0,66300.0,90720.0,90720.0,90720.0,90720.0,90720.0,75600.0,98880.0,98880.0,98880.0,98880.0,75600.0,60480.0,120960.0,45360.0,90720.0,60480.0,105840.0,105840.0,105840.0,105840.0,105840.0,120960.0,45360.0,30240.0,45360.0,40845.0,39312.0,49896.0,15876.0,0.0,-23436.0,4536.0,-60480.0,0.0
201921,60480.0,75600.0,75600.0,75600.0,105840.0,105840.0,105840.0,105840.0,105840.0,75600.0,120960.0,120960.0,120960.0,60480.0,120960.0,45360.0,90720.0,60480.0,105840.0,105840.0,105840.0,105840.0,105840.0,120960.0,120960.0,60480.0,45360.0,30240.0,45360.0,40845.0,39312.0,49896.0,15876.0,0.0,-23436.0,4536.0,-60480.0
201922,30240.0,60480.0,60480.0,75600.0,75600.0,90720.0,90720.0,90720.0,90720.0,90720.0,75600.0,120960.0,120960.0,120960.0,45360.0,90720.0,60480.0,105840.0,105840.0,105840.0,105840.0,105840.0,120960.0,120960.0,120960.0,60480.0,60480.0,45360.0,30240.0,45360.0,40845.0,39312.0,49896.0,15876.0,0.0,-23436.0,4536.0
201923,75600.0,120960.0,120960.0,120960.0,136080.0,136080.0,90720.0,90720.0,90720.0,90720.0,90720.0,75600.0,120960.0,45360.0,90720.0,60480.0,105840.0,105840.0,105840.0,105840.0,105840.0,120960.0,120960.0,120960.0,120960.0,30240.0,60480.0,60480.0,45360.0,30240.0,45360.0,40845.0,39312.0,49896.0,15876.0,0.0,-23436.0
201924,15120.0,45360.0,45360.0,45360.0,45360.0,45360.0,45360.0,90720.0,90720.0,90720.0,90720.0,90720.0,75600.0,0.0,60480.0,105840.0,105840.0,105840.0,105840.0,120960.0,120960.0,136080.0,120960.0,120960.0,120960.0,75600.0,30240.0,60480.0,60480.0,45360.0,30240.0,45360.0,40845.0,39312.0,49896.0,15876.0,0.0
201925,0.0,0.0,90720.0,90720.0,90720.0,90720.0,75600.0,75600.0,90720.0,90720.0,90720.0,90720.0,90720.0,60480.0,75600.0,60480.0,90720.0,90720.0,120960.0,120960.0,136080.0,60480.0,45360.0,45360.0,105840.0,15120.0,75600.0,30240.0,60480.0,60480.0,45360.0,30240.0,45360.0,40845.0,39312.0,49896.0,15876.0
201926,45360.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,90720.0,75600.0,60480.0,90720.0,90720.0,120960.0,120960.0,136080.0,60480.0,45360.0,45360.0,105840.0,105840.0,0.0,15120.0,75600.0,30240.0,60480.0,60480.0,45360.0,30240.0,45360.0,40845.0,39312.0,49896.0
201927,60480.0,75600.0,75600.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,60480.0,90720.0,90720.0,120960.0,120960.0,136080.0,60480.0,45360.0,45360.0,105840.0,105840.0,120960.0,45360.0,0.0,15120.0,75600.0,30240.0,60480.0,60480.0,45360.0,30240.0,45360.0,40845.0,39312.0
201928,15120.0,60480.0,60480.0,60480.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,30240.0,75600.0,120960.0,120960.0,136080.0,60480.0,45360.0,45360.0,105840.0,105840.0,120960.0,120960.0,60480.0,45360.0,0.0,15120.0,75600.0,30240.0,60480.0,60480.0,45360.0,30240.0,45360.0,40845.0
201929,29862.0,30240.0,90720.0,90720.0,90720.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,75600.0,120960.0,120960.0,136080.0,60480.0,45360.0,45360.0,105840.0,105840.0,120960.0,120960.0,151200.0,15120.0,60480.0,45360.0,0.0,15120.0,75600.0,30240.0,60480.0,60480.0,45360.0,30240.0,45360.0
201930,32886.0,75600.0,75600.0,90720.0,90720.0,90720.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,60480.0,75600.0,90720.0,60480.0,75600.0,45360.0,105840.0,105840.0,120960.0,120960.0,151200.0,151200.0,29862.0,15120.0,60480.0,45360.0,0.0,15120.0,75600.0,30240.0,60480.0,60480.0,45360.0,30240.0
201931,57834.0,60480.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,105840.0,105840.0,105840.0,105840.0,105840.0,75600.0,90720.0,60480.0,75600.0,45360.0,105840.0,105840.0,120960.0,120960.0,151200.0,151200.0,151200.0,32886.0,29862.0,15120.0,60480.0,45360.0,0.0,15120.0,75600.0,30240.0,60480.0,60480.0,45360.0
201932,45360.0,75600.0,75600.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,90720.0,60480.0,75600.0,45360.0,105840.0,105840.0,120960.0,120960.0,151200.0,151200.0,151200.0,181440.0,57834.0,32886.0,29862.0,15120.0,60480.0,45360.0,0.0,15120.0,75600.0,30240.0,60480.0,60480.0
201933,4284.0,90720.0,90720.0,90720.0,136080.0,136080.0,136080.0,136080.0,136080.0,136080.0,120960.0,120960.0,120960.0,75600.0,60480.0,75600.0,105840.0,105840.0,120960.0,120960.0,151200.0,151200.0,151200.0,181440.0,181440.0,45360.0,57834.0,32886.0,29862.0,15120.0,60480.0,45360.0,0.0,15120.0,75600.0,30240.0,60480.0
201934,74811.0,75600.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,120960.0,120960.0,120960.0,75600.0,75600.0,105840.0,105840.0,120960.0,120960.0,151200.0,151200.0,151200.0,181440.0,181440.0,181440.0,4284.0,45360.0,57834.0,32886.0,29862.0,15120.0,60480.0,45360.0,0.0,15120.0,75600.0,30240.0
201935,60478.0,75600.0,60480.0,75600.0,75600.0,75600.0,45360.0,45360.0,45360.0,45360.0,45360.0,120960.0,120960.0,75600.0,90720.0,105840.0,90720.0,90720.0,151200.0,136080.0,151200.0,136080.0,151200.0,196560.0,151200.0,74811.0,4284.0,45360.0,57834.0,32886.0,29862.0,15120.0,60480.0,45360.0,0.0,15120.0,75600.0
201936,60480.0,75600.0,75600.0,75600.0,45360.0,45360.0,45360.0,45360.0,45360.0,45360.0,45360.0,45360.0,120960.0,90720.0,105840.0,90720.0,90720.0,151200.0,136080.0,151200.0,136080.0,151200.0,196560.0,151200.0,196560.0,60478.0,74811.0,4284.0,45360.0,57834.0,32886.0,29862.0,15120.0,60480.0,45360.0,0.0,15120.0
201937,27972.0,90720.0,90720.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,60480.0,75600.0,75600.0,75600.0,75600.0,90720.0,105840.0,105840.0,105840.0,120960.0,136080.0,136080.0,60480.0,60478.0,74811.0,4284.0,45360.0,57834.0,32886.0,29862.0,15120.0,60480.0,45360.0,0.0
201938,52920.0,60480.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,60480.0,75600.0,75600.0,75600.0,90720.0,105840.0,105840.0,105840.0,120960.0,136080.0,136080.0,136080.0,27972.0,60480.0,60478.0,74811.0,4284.0,45360.0,57834.0,32886.0,29862.0,15120.0,60480.0,45360.0
201939,86886.0,60480.0,75600.0,90720.0,90720.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,75600.0,75600.0,75600.0,90720.0,105840.0,105840.0,105840.0,120960.0,136080.0,136080.0,136080.0,75600.0,52920.0,27972.0,60480.0,60478.0,74811.0,4284.0,45360.0,57834.0,32886.0,29862.0,15120.0,60480.0
201940,90720.0,75600.0,75600.0,75600.0,90720.0,90720.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,75600.0,90720.0,90720.0,105840.0,120960.0,120960.0,120960.0,136080.0,151200.0,151200.0,90720.0,0.0,86886.0,52920.0,27972.0,60480.0,60478.0,74811.0,4284.0,45360.0,57834.0,32886.0,29862.0,15120.0
201941,54432.0,75600.0,75600.0,75600.0,75600.0,151200.0,151200.0,151200.0,151200.0,151200.0,151200.0,151200.0,151200.0,90720.0,90720.0,105840.0,120960.0,120960.0,120960.0,136080.0,181440.0,181440.0,105840.0,0.0,0.0,90720.0,86886.0,52920.0,27972.0,60480.0,60478.0,74811.0,4284.0,45360.0,57834.0,32886.0,29862.0
201942,82404.0,90720.0,90720.0,75600.0,75600.0,75600.0,136080.0,136080.0,151200.0,151200.0,151200.0,151200.0,151200.0,90720.0,105840.0,120960.0,120960.0,120960.0,136080.0,181440.0,181440.0,105840.0,0.0,97331.0,264376.0,54432.0,90720.0,86886.0,52920.0,27972.0,60480.0,60478.0,74811.0,4284.0,45360.0,57834.0,32886.0
201943,64638.0,90720.0,90720.0,90720.0,90720.0,90720.0,90720.0,151200.0,151200.0,151200.0,151200.0,151200.0,151200.0,105840.0,120960.0,120960.0,120960.0,136080.0,181440.0,181440.0,105840.0,0.0,97331.0,264376.0,279152.0,82404.0,54432.0,90720.0,86886.0,52920.0,27972.0,60480.0,60478.0,74811.0,4284.0,45360.0,57834.0
201944,0.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,136080.0,136080.0,181440.0,181440.0,181440.0,120960.0,120960.0,105840.0,120960.0,151200.0,151200.0,105840.0,0.0,97331.0,264376.0,279152.0,293228.0,64638.0,82404.0,54432.0,90720.0,86886.0,52920.0,27972.0,60480.0,60478.0,74811.0,4284.0,45360.0
201945,68796.0,120960.0,120960.0,120960.0,120960.0,120960.0,105840.0,105840.0,105840.0,151200.0,151200.0,181440.0,181440.0,120960.0,105840.0,120960.0,151200.0,151200.0,105840.0,0.0,97331.0,264376.0,279152.0,293228.0,293228.0,0.0,64638.0,82404.0,54432.0,90720.0,86886.0,52920.0,27972.0,60480.0,60478.0,74811.0,4284.0
201946,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,105840.0,105840.0,105840.0,196560.0,196560.0,181440.0,105840.0,120960.0,151200.0,151200.0,105840.0,0.0,97331.0,264376.0,279152.0,293228.0,293228.0,293228.0,68796.0,0.0,64638.0,82404.0,54432.0,90720.0,86886.0,52920.0,27972.0,60480.0,60478.0,74811.0
201947,80892.0,105840.0,105840.0,105840.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,151200.0,151200.0,120960.0,151200.0,151200.0,105840.0,0.0,0.0,136080.0,136080.0,151200.0,211680.0,151200.0,166320.0,120960.0,68796.0,0.0,64638.0,82404.0,54432.0,90720.0,86886.0,52920.0,27972.0,60480.0,60478.0
201948,69174.0,120960.0,120960.0,120960.0,120960.0,136080.0,136080.0,136080.0,136080.0,136080.0,136080.0,136080.0,196560.0,151200.0,151200.0,105840.0,0.0,60480.0,136080.0,75600.0,151200.0,211680.0,151200.0,166320.0,181440.0,80892.0,120960.0,68796.0,0.0,64638.0,82404.0,54432.0,90720.0,86886.0,52920.0,27972.0,60480.0
201949,46494.0,151200.0,151200.0,151200.0,151200.0,151200.0,181440.0,181440.0,181440.0,151200.0,136080.0,136080.0,136080.0,151200.0,105840.0,0.0,60480.0,136080.0,75600.0,151200.0,211680.0,151200.0,166320.0,181440.0,226800.0,69174.0,80892.0,120960.0,68796.0,0.0,64638.0,82404.0,54432.0,90720.0,86886.0,52920.0,27972.0
201950,87696.0,151200.0,151200.0,151200.0,151200.0,151200.0,151200.0,181440.0,181440.0,181440.0,151200.0,136080.0,136080.0,105840.0,0.0,60480.0,136080.0,75600.0,151200.0,211680.0,151200.0,166320.0,181440.0,226800.0,136080.0,46494.0,69174.0,80892.0,120960.0,68796.0,0.0,64638.0,82404.0,54432.0,90720.0,86886.0,52920.0
201951,62748.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,105840.0,90720.0,75600.0,0.0,60480.0,136080.0,75600.0,151200.0,211680.0,151200.0,166320.0,181440.0,226800.0,136080.0,151200.0,87696.0,46494.0,69174.0,80892.0,120960.0,68796.0,0.0,64638.0,82404.0,54432.0,90720.0,86886.0
201952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60480.0,105840.0,105840.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,191273.0,62748.0,87696.0,46494.0,69174.0,80892.0,120960.0,68796.0,0.0,64638.0,82404.0,54432.0,90720.0
202001,29862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105840.0,105840.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,191273.0,191273.0,0.0,62748.0,87696.0,46494.0,69174.0,80892.0,120960.0,68796.0,0.0,64638.0,82404.0,54432.0
202002,128520.0,105840.0,105840.0,136080.0,136080.0,136080.0,136080.0,136080.0,264376.0,264376.0,264376.0,264376.0,264376.0,105840.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,120960.0,151200.0,151200.0,0.0,29862.0,0.0,62748.0,87696.0,46494.0,69174.0,80892.0,120960.0,68796.0,0.0,64638.0,82404.0
202003,120960.0,105840.0,105840.0,105840.0,75600.0,75600.0,75600.0,75600.0,136080.0,279152.0,279152.0,279152.0,279152.0,105840.0,120960.0,120960.0,141960.0,120960.0,120960.0,120960.0,120960.0,151200.0,151200.0,151200.0,151200.0,128520.0,29862.0,0.0,62748.0,87696.0,46494.0,69174.0,80892.0,120960.0,68796.0,0.0,64638.0
202004,120960.0,105840.0,120960.0,120960.0,120960.0,151200.0,151200.0,151200.0,151200.0,151200.0,293228.0,293228.0,293228.0,120960.0,120960.0,141960.0,136080.0,136080.0,120960.0,120960.0,151200.0,151200.0,151200.0,151200.0,151200.0,120960.0,128520.0,29862.0,0.0,62748.0,87696.0,46494.0,69174.0,80892.0,120960.0,68796.0,0.0
202005,105840.0,120960.0,120960.0,120960.0,120960.0,120960.0,211680.0,211680.0,211680.0,211680.0,211680.0,293228.0,293228.0,136080.0,141960.0,136080.0,136080.0,136080.0,105840.0,151200.0,151200.0,151200.0,151200.0,151200.0,166320.0,120960.0,120960.0,128520.0,29862.0,0.0,62748.0,87696.0,46494.0,69174.0,80892.0,120960.0,68796.0
202006,74844.0,136080.0,120960.0,120960.0,120960.0,120960.0,120960.0,151200.0,151200.0,151200.0,151200.0,151200.0,293228.0,141960.0,136080.0,136080.0,136080.0,105840.0,151200.0,151200.0,151200.0,151200.0,151200.0,166320.0,166320.0,105840.0,120960.0,120960.0,128520.0,29862.0,0.0,62748.0,87696.0,46494.0,69174.0,80892.0,120960.0
202007,75600.0,141960.0,141960.0,141960.0,141960.0,120960.0,120960.0,120960.0,166320.0,166320.0,166320.0,166320.0,166320.0,136080.0,136080.0,136080.0,105840.0,151200.0,151200.0,151200.0,151200.0,151200.0,166320.0,166320.0,196560.0,74844.0,105840.0,120960.0,120960.0,128520.0,29862.0,0.0,62748.0,87696.0,46494.0,69174.0,80892.0
202008,150599.0,136080.0,136080.0,136080.0,136080.0,120960.0,120960.0,120960.0,120960.0,181440.0,181440.0,181440.0,181440.0,166320.0,136080.0,105840.0,151200.0,151200.0,151200.0,151200.0,151200.0,166320.0,166320.0,196560.0,226801.0,75600.0,74844.0,105840.0,120960.0,120960.0,128520.0,29862.0,0.0,62748.0,87696.0,46494.0,69174.0
202009,120960.0,166320.0,136080.0,136080.0,136080.0,136080.0,120960.0,120960.0,120960.0,120960.0,226800.0,226800.0,226800.0,136080.0,136080.0,151200.0,166320.0,181440.0,181440.0,151200.0,166320.0,181440.0,196560.0,226801.0,257040.0,150599.0,75600.0,74844.0,105840.0,120960.0,120960.0,128520.0,29862.0,0.0,62748.0,87696.0,46494.0
