Plan Week,WW,Result Qty_x,Result Qty_y
201840,40,103449,4
201841,41,211642,7
201842,42,206506,7
201843,43,194647,7
201844,44,212004,7
201845,45,210876,7
201846,46,215386,7
201847,47,193035,11
201848,48,175204,13
201849,49,188559,9
201850,50,200929,8
201851,51,214156,8
201852,52,143381,13
201901,1,116846,11
201902,2,283956,15
201903,3,288503,26
201904,4,209168,22
201905,5,237050,22
201906,6,312530,21
201907,7,158314,22
201908,8,272186,21
201909,9,350956,37
201910,10,428391,22
201911,11,415634,23
201912,12,402209,21
201913,13,377083,19
201914,14,337346,23
201915,15,429497,24
201916,16,434224,20
201917,17,419160,19
201918,18,427896,22
201919,19,492123,21
201920,20,518349,23
201921,21,385555,19
201922,22,452653,23
201923,23,439919,22
201924,24,450931,22
201925,25,339023,16
201926,26,530333,22
201927,27,440134,21
201928,28,427594,17
201929,29,392700,14
201930,30,532017,21
201931,31,534653,21
201932,32,399134,15
201933,33,535992,21
201934,34,465629,22
201935,35,377700,15
201936,36,444339,18
201937,37,479100,22
201938,38,409574,18
201939,39,308745,15
201940,40,287308,14
201941,41,439265,20
201942,42,394547,20
201943,43,367032,14
201944,44,374680,15
201945,45,427092,21
201946,46,490019,25
201947,47,450968,23
201948,48,258245,20
201949,49,133191,15
201950,50,420560,18
201951,51,472028,18
201952,52,194257,9
202001,1,326957,22
202002,2,329459,23
202003,3,296120,28
202004,4,228923,20
202005,5,192274,8
202006,6,215942,16
202007,7,365736,16
202008,8,229997,14
202009,9,293829,21
202010,10,394467,15
202011,11,230080,9
202012,12,279378,16
202013,13,422217,21
202014,14,417985,15
202015,15,465186,21
202016,16,447355,26
202017,17,215542,15
202018,18,427288,21
202019,19,207258,13
202020,20,155423,7
202021,21,160729,21
202022,22,149811,11
202023,23,337427,21
202024,24,373704,20
202025,25,345057,19
202026,26,379823,21
202027,27,465272,23
202028,28,404513,18
202029,29,292671,15
202030,30,286525,18
202031,31,372505,22
202032,32,377969,21
202033,33,470312,21
202034,34,506974,21
202035,35,369610,19
202036,36,367447,14
202037,37,451315,20
202038,38,561741,21
202039,39,513848,29
202040,40,329792,22
202041,41,443077,21
202042,42,476222,33
202043,43,498645,36
202044,44,596349,29
202045,45,647130,28
202046,46,669264,28
202047,47,711198,36
202048,48,779282,38
202049,49,595386,22
202050,50,653719,22
202051,51,629548,26
202052,52,303238,13
202053,53,523755,26
202101,1,639883,27
202102,2,541707,25
202103,3,562795,21
202104,4,464793,22
202105,5,524000,21
202106,6,487593,29
202107,7,580227,23
202108,8,687386,29
202109,9,731579,28
202110,10,745334,28
202111,11,601176,21
202112,12,457634,19
202113,13,423081,15
202114,14,463328,22
202115,15,394413,22
