Plan Date,Date,QTY_x,QTY_y
201840,201847,500.0,7
201840,201849,98400.0,7
201840,201902,4625.209174201,1
201840,201903,62385.1341992191,7
201840,201904,38809.43165691401,5
201840,201906,14396.569477512201,2
201840,201907,62385.1341910299,7
201840,201908,131785.1341821282,14
201840,201909,62385.134182128204,7
201840,201910,62385.134182128204,7
201840,201911,3474.3059018367,1
201840,201912,112589.7083977931,12
201840,201913,62385.13418212821,7
201840,201914,62385.13418212821,7
201840,201915,62385.134182128306,7
201840,201916,131785.13418212818,14
201840,201917,62385.134258662605,7
201840,201918,62385.13423565661,7
201840,201919,166485.1341821283,14
201840,201920,62385.13418212811,7
201840,201921,62385.134182128306,7
201840,201922,67183.99065564951,7
201840,201923,310083.99083719845,14
201840,201924,310083.9907721812,14
201840,201925,67183.9907239421,7
201840,201926,67183.990747618,7
201840,201927,40298.39657147179,5
201840,201928,310083.9907761658,14
201840,201929,310083.99076625746,14
201840,201930,310083.9907089934,14
201840,201931,448883.99064614525,18
201840,201932,535627.1575848069,20
201840,201933,312300.0,14
201840,201934,242900.0,7
201840,201935,242900.0,7
201840,201936,543386.2776500143,20
201840,201937,552983.9907866651,21
201840,201938,552983.9907123873,21
201840,201939,520834.3015778566,15
201841,201842,10000.0,1
201841,201847,500.0,7
201841,201849,101100.0,7
201841,201908,69400.0,7
201841,201912,69400.0,7
201841,201916,69400.0,7
201841,201919,104100.0,7
201841,201923,242900.0,7
201841,201924,242900.0,7
201841,201928,242900.0,7
201841,201929,242900.0,7
201841,201930,242900.0,7
201841,201931,381700.0,11
201841,201932,485800.0,14
201841,201933,312300.0,14
201841,201934,242900.0,7
201841,201935,242900.0,7
201841,201936,485800.0,14
201841,201937,485800.0,14
201841,201938,485800.0,14
201841,201939,485800.0,14
201841,201940,2057385.1063829786,14
201842,201842,9943.0,1
201842,201847,500.0,1
201842,201849,101100.0,7
201842,201908,69400.0,7
201842,201912,69400.0,7
201842,201916,69400.0,7
201842,201918,347000.0,10
201842,201919,485800.0,14
201842,201920,485800.0,14
201842,201921,485800.0,14
201842,201922,242900.0,7
201842,201923,242900.0,7
201842,201928,242900.0,7
201842,201929,242900.0,7
201842,201930,242900.0,7
201842,201931,104100.0,3
201842,201934,242900.0,7
201842,201935,242900.0,7
201842,201936,242900.0,7
201842,201937,242900.0,7
201842,201938,242900.0,7
201842,201940,208200.0,6
201842,201941,242985.1063829787,8
201842,201942,1316384.29213483,2
201843,201847,500.0,1
201843,201849,101100.0,7
201843,201908,69400.0,7
201843,201912,69400.0,7
201843,201916,69400.0,7
201843,201918,416400.0,12
201843,201919,485800.0,14
201843,201920,485800.0,14
201843,201921,485800.0,14
201843,201922,485800.0,14
201843,201923,242900.0,7
201843,201930,485800.0,14
201843,201931,347000.0,10
201843,201932,242900.0,7
201843,201933,242900.0,7
201843,201934,242900.0,7
201843,201935,208200.0,6
201843,201938,242900.0,7
201843,201939,242900.0,7
201843,201940,242900.0,7
201843,201942,242900.0,7
201843,201943,1026157.06741573,2
201844,201847,500.0,1
201844,201849,235900.0,7
201844,201850,33700.0,7
201844,201901,69400.0,6
201844,201902,138800.0,7
201844,201905,104100.0,3
201844,201906,138800.0,7
201844,201910,242900.0,7
201844,201911,34700.0,7
201844,201914,138800.0,7
201844,201915,242900.0,7
201844,201919,242900.0,7
201844,201920,242900.0,7
201844,201921,242900.0,7
201844,201924,242900.0,7
201844,201925,69400.0,7
201844,201927,242900.0,7
201844,201928,242900.0,7
201844,201929,208200.0,7
201844,201932,242900.0,7
201844,201933,242900.0,7
201844,201934,138800.0,7
201844,201936,485800.0,14
201844,201937,485800.0,14
201844,201938,485800.0,14
201844,201940,104100.0,6
201844,201941,242900.0,7
201844,201942,242900.0,7
201844,201943,138800.0,7
201844,201944,569.0,1
201845,201847,500.0,1
201845,201849,235900.0,7
201845,201850,33700.0,1
201845,201901,69400.0,6
201845,201902,138800.0,7
201845,201905,104100.0,3
201845,201906,138800.0,7
201845,201910,242900.0,7
201845,201911,34700.0,7
201845,201914,138800.0,7
201845,201915,242900.0,7
201845,201920,242900.0,7
201845,201921,242900.0,7
201845,201923,242900.0,7
201845,201924,208200.0,7
201845,201925,69400.0,7
201845,201927,242900.0,7
201845,201928,242900.0,7
201845,201929,208200.0,7
201845,201932,208200.0,7
201845,201933,242900.0,7
201845,201934,138800.0,7
201845,201935,69400.0,2
201845,201936,416400.0,14
201845,201937,381700.0,14
201845,201938,242900.0,7
201845,201939,242900.0,7
201845,201940,1422700.0,13
201845,201941,173500.0,7
201845,201942,485800.0,14
201845,201943,485800.0,14
201845,201944,2186100.0,14
201845,201945,568.0,1
201846,201847,500.0,1
201846,201849,235900.0,7
201846,201850,33700.0,1
201846,201901,69400.0,6
201846,201902,138800.0,7
201846,201905,104100.0,3
201846,201906,138800.0,7
201846,201910,242900.0,7
201846,201911,34700.0,7
201846,201914,138800.0,7
201846,201915,242900.0,7
201846,201920,242900.0,7
201846,201921,242900.0,7
201846,201923,242900.0,7
201846,201924,208200.0,7
201846,201925,69400.0,7
201846,201927,242900.0,7
201846,201928,242900.0,7
201846,201929,208200.0,7
201846,201932,208200.0,7
201846,201933,242900.0,7
201846,201934,138800.0,7
201846,201935,69400.0,2
201846,201936,416400.0,14
201846,201937,381700.0,14
201846,201938,242900.0,7
201846,201939,242900.0,7
201846,201940,208200.0,7
201846,201941,485800.0,14
201846,201942,485800.0,14
