Inven Week,재고수량
201901,96768
201902,68589
201903,74685
201904,97818
201905,152133
201906,68161
201907,31775
201908,60061
201909,111491
201910,44287
201911,48625
201912,27489
201913,58304
201914,60866
201915,54443
201916,13093
201917,32749
201918,56163
201919,92713
201920,123709
201921,143658
201922,71718
201923,98300
201924,163478
201925,198642
201926,166385
201927,178630
201928,31133
201929,31133
201930,106355
201931,111607
201932,81333
201933,160755
201934,155329
201935,120825
201936,73999
201937,128770
201938,186364
201939,180594
201940,114478
201941,86934
201942,84330
201943,66121
201944,59855
201945,108466
201946,153359
201947,178142
201948,177609
201949,132191
201950,84971
201951,88526
201952,130058
202001,181023
202002,165823
202003,224763
202004,122287
202005,157895
202006,151794
202007,167474
202008,106236
202009,169135
202010,90081
202011,84995
202012,137738
202013,167702
202014,178185
202015,277379
202016,309908
202017,291756
202018,339672
202019,374805
202020,342541
202021,265306
202022,128749
202023,124421
202024,222314
202025,158539
202026,138284
202027,208714
202028,530214
202029,391401
202030,478727
202031,486998
202032,628732
202033,479556
202034,404625
202035,246815
202036,289294
202037,305102
202038,297620
202039,260944
202040,271314
202041,273349
202042,124769
202043,99439
202044,122692
202045,259402
202046,277149
202047,303857
202048,349598
202049,199527
202050,191791
202051,78151
202052,74685
202053,88259
202101,87933
202102,212452
202103,125386
202104,231640
202105,545674
202106,611140
202107,577376
202108,786240
202109,336558
202110,329912
202111,437487
202112,449024
202113,434065
202114,592563
202115,406903
202116,378066
