Inven Week,재고수량
201901,9436
201902,9058
201903,898
201904,30760
201905,577
201906,30817
201907,577
201908,57
201914,6048
201915,30240
201916,45360
201920,15120
201922,30240
201926,15120
201928,45189
201929,207
201930,15327
201931,15120
201934,15876
201935,11339
201936,3402
201937,24192
201938,17388
201939,28350
201940,32130
201941,756
201942,756
201943,756
201944,4158
201945,15876
201946,756
201947,756
201948,756
201949,756
201950,756
201951,756
201952,756
202001,756
202002,756
202003,756
202004,756
202005,756
202006,756
202007,756
202008,1334
202009,1334
202010,756
202011,756
202012,756
202013,756
202014,756
202015,756
202016,756
202017,756
202018,15876
202019,756
202020,30996
202021,31003
202022,32130
202023,1890
202024,1137
202025,756
202026,756
202027,756
202028,756
202029,756
202030,437
202031,151200
202034,13986
202036,0
202043,15120
202044,0
202046,90720
202048,30240
202049,1134
202050,378
202051,-15120
202052,-15120
202103,15120
202106,60480
202107,30240
202108,99178
202110,15120
202112,45360
202113,45360
202115,30240
202116,105840
