Week,Inven,Prev_Inven_1,Prev_Inven_2,Prev_Inven_3,Prev_Inven_4,Prev_Inven_5,Prev_Inven_6,Prev_Inven_7,Prev_Inven_8,Sale,Var_Sale_1,Var_Sale_2,Var_Sale_3,Var_Sale_4,Var_Sale_5,Var_Sale_6,Var_Sale_7,Var_Sale_8,Var_Sale_9,Var_Sale_10,Var_Sale_11,Var_Sale_12,Post_Sale_1,Post_Sale_2,Post_Sale_3,Post_Sale_4,Post_Sale_5,Post_Sale_6,Post_Sale_7,Post_Sale_8,Post_Sale_9,Post_Sale_10,Post_Sale_11,Post_Sale_12,Prev_Sale_1,Prev_Sale_2,Prev_Sale_3,Prev_Sale_4,Prev_Sale_5,Prev_Sale_6,Prev_Sale_7,Prev_Sale_8,Prev_Sale_9,Prev_Sale_10,Prev_Sale_11,Prev_Sale_12,Product,Var_Product_1,Var_Product_2,Var_Product_3,Var_Product_4,Var_Product_5,Var_Product_6,Var_Product_7,Var_Product_8,Var_Product_9,Var_Product_10,Var_Product_11,Var_Product_12,Post_Product_1,Post_Product_2,Post_Product_3,Post_Product_4,Post_Product_5,Post_Product_6,Post_Product_7,Post_Product_8,Post_Product_9,Post_Product_10,Post_Product_11,Post_Product_12,Prev_Product_1,Prev_Product_2,Prev_Product_3,Prev_Product_4,Prev_Product_5,Prev_Product_6,Prev_Product_7,Prev_Product_8,Prev_Product_9,Prev_Product_10,Prev_Product_11,Prev_Product_12
201903,233162.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8160.0,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,38400.0,57600.0,57600.0,57600.0,0.0,22080.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,0.0,60480.0,60480.0,60480.0,60480.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0,0.0,0.0,26838.0,288503.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,104100.0,138800.0,-999.0,-999.0,-999.0,225550.0,52050.0,-999.0,-999.0,121450.0,242900.0,283956.0,116846.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201904,385830.0,233162.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,22080.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,30240.0,60480.0,60480.0,60480.0,60480.0,60480.0,60480.0,0.0,60480.0,60480.0,60480.0,60480.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0,0.0,0.0,209168.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,138800.0,-999.0,-999.0,-999.0,34700.0,242900.0,-999.0,-999.0,121450.0,242900.0,17350.0,288503.0,283956.0,116846.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201905,372684.0,385830.0,233162.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30240.0,30240.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,60480.0,60480.0,60480.0,60480.0,0.0,0.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0,0.0,237050.0,-999.0,104100.0,104100.0,104100.0,104100.0,104100.0,104100.0,104100.0,104100.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,34700.0,208200.0,-999.0,34700.0,-999.0,208200.0,242900.0,173500.0,-999.0,209168.0,288503.0,283956.0,116846.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201906,404244.0,372684.0,385830.0,233162.0,-999.0,-999.0,-999.0,-999.0,-999.0,60480.0,60480.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,60480.0,60480.0,60480.0,0.0,0.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,22762.0,312530.0,-999.0,138800.0,138800.0,138800.0,138800.0,138800.0,138800.0,138800.0,138800.0,138800.0,-999.0,-999.0,-999.0,-999.0,34700.0,208200.0,-999.0,34700.0,-999.0,-999.0,-999.0,-999.0,-999.0,167593.06402186048,237050.0,209168.0,288503.0,283956.0,116846.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201907,206642.0,404244.0,372684.0,385830.0,233162.0,-999.0,-999.0,-999.0,-999.0,59229.0,60480.0,60480.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,60480.0,60480.0,0.0,0.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,0.0,158314.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,34700.0,208200.0,-999.0,34700.0,-999.0,156150.0,242900.0,173500.0,-999.0,-999.0,17350.0,312530.0,237050.0,209168.0,288503.0,283956.0,116846.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201908,161548.0,206642.0,404244.0,372684.0,385830.0,233162.0,-999.0,-999.0,-999.0,0.0,60480.0,60480.0,60480.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,9240.0,30240.0,10240.0,0.0,60480.0,60480.0,60480.0,49480.0,90720.0,90720.0,90720.0,98880.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,0.0,272186.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,34700.0,208200.0,-999.0,34700.0,-999.0,208200.0,242900.0,173500.0,-999.0,-999.0,17350.0,225550.0,158314.0,312530.0,237050.0,209168.0,288503.0,283956.0,116846.0,-999.0,-999.0,-999.0,-999.0,-999.0
201909,190140.0,161548.0,206642.0,404244.0,372684.0,385830.0,233162.0,-999.0,-999.0,0.0,9240.0,60480.0,60480.0,60480.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,57600.0,30240.0,30240.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,98880.0,120960.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,0.0,350956.0,34700.0,34700.0,34700.0,34700.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,208200.0,-999.0,34700.0,-999.0,208200.0,-999.0,173500.0,173500.0,69400.0,17350.0,225550.0,242900.0,272186.0,158314.0,312530.0,237050.0,209168.0,288503.0,283956.0,116846.0,-999.0,-999.0,-999.0,-999.0
201910,213284.0,190140.0,161548.0,206642.0,404244.0,372684.0,385830.0,233162.0,-999.0,4536.0,30240.0,30240.0,0.0,0.0,0.0,60480.0,60480.0,57600.0,57600.0,57600.0,57600.0,57600.0,30240.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,98880.0,120960.0,120960.0,0.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,31752.0,428391.0,208200.0,208200.0,208200.0,208200.0,208200.0,34700.0,225550.0,225550.0,100555.83871853208,-999.0,225550.0,225550.0,-999.0,34700.0,-999.0,208200.0,-999.0,173500.0,173500.0,242900.0,-999.0,242900.0,242900.0,-999.0,350956.0,272186.0,158314.0,312530.0,237050.0,209168.0,288503.0,283956.0,116846.0,-999.0,-999.0,-999.0
201911,139068.0,213284.0,190140.0,161548.0,206642.0,404244.0,372684.0,385830.0,233162.0,0.0,30240.0,30240.0,10240.0,0.0,0.0,0.0,60480.0,0.0,57600.0,57600.0,57600.0,57600.0,0.0,60480.0,60480.0,60480.0,60480.0,90720.0,90720.0,90720.0,98880.0,120960.0,120960.0,120960.0,4536.0,0.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,0.0,415634.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,242900.0,52050.0,52050.0,128511.5694447335,-999.0,52050.0,-999.0,-999.0,138800.0,-999.0,104100.0,173500.0,242900.0,-999.0,242900.0,69400.0,-999.0,242900.0,428391.0,350956.0,272186.0,158314.0,312530.0,237050.0,209168.0,288503.0,283956.0,116846.0,-999.0,-999.0
201912,309866.0,139068.0,213284.0,190140.0,161548.0,206642.0,404244.0,372684.0,385830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60480.0,57600.0,57600.0,57600.0,45360.0,60480.0,75600.0,75600.0,60480.0,75600.0,75600.0,75600.0,75600.0,75600.0,75600.0,75600.0,0.0,4536.0,0.0,0.0,59229.0,60480.0,30240.0,0.0,8160.0,38400.0,30240.0,0.0,402209.0,-999.0,34700.0,34700.0,34700.0,34700.0,34700.0,34700.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,69400.0,104100.0,104100.0,173500.0,173500.0,-999.0,242900.0,69400.0,-999.0,242900.0,225550.0,415634.0,428391.0,350956.0,272186.0,158314.0,312530.0,237050.0,209168.0,288503.0,283956.0,116846.0,-999.0
