YEAR,WW,INVENTORY,prev_INVENTORY_1,prev_INVENTORY_2,prev_INVENTORY_3,prev_INVENTORY_4,prev_INVENTORY_5,prev_INVENTORY_6,prev_INVENTORY_7,prev_INVENTORY_8,prev_INVENTORY_9,prev_INVENTORY_10,prev_INVENTORY_11,prev_INVENTORY_12
2020,10,1886,1825,1582,1830,1574,1172,1238,696,316,388,310,222,250
2020,11,2367,1886,1825,1582,1830,1574,1172,1238,696,316,388,310,222
2020,12,2874,2367,1886,1825,1582,1830,1574,1172,1238,696,316,388,310
2020,13,3087,2874,2367,1886,1825,1582,1830,1574,1172,1238,696,316,388
2020,14,3080,3087,2874,2367,1886,1825,1582,1830,1574,1172,1238,696,316
2020,15,3234,3080,3087,2874,2367,1886,1825,1582,1830,1574,1172,1238,696
2020,16,3278,3234,3080,3087,2874,2367,1886,1825,1582,1830,1574,1172,1238
2020,17,3297,3278,3234,3080,3087,2874,2367,1886,1825,1582,1830,1574,1172
2020,18,3388,3297,3278,3234,3080,3087,2874,2367,1886,1825,1582,1830,1574
2020,19,3191,3388,3297,3278,3234,3080,3087,2874,2367,1886,1825,1582,1830
2020,20,3274,3191,3388,3297,3278,3234,3080,3087,2874,2367,1886,1825,1582
2020,21,2882,3274,3191,3388,3297,3278,3234,3080,3087,2874,2367,1886,1825
2020,22,2934,2882,3274,3191,3388,3297,3278,3234,3080,3087,2874,2367,1886
2020,23,3130,2934,2882,3274,3191,3388,3297,3278,3234,3080,3087,2874,2367
2020,24,2929,3130,2934,2882,3274,3191,3388,3297,3278,3234,3080,3087,2874
2020,25,2765,2929,3130,2934,2882,3274,3191,3388,3297,3278,3234,3080,3087
2020,26,3121,2765,2929,3130,2934,2882,3274,3191,3388,3297,3278,3234,3080
2020,27,1689,3121,2765,2929,3130,2934,2882,3274,3191,3388,3297,3278,3234
2020,28,1010,1689,3121,2765,2929,3130,2934,2882,3274,3191,3388,3297,3278
2020,29,1087,1010,1689,3121,2765,2929,3130,2934,2882,3274,3191,3388,3297
2020,30,1865,1087,1010,1689,3121,2765,2929,3130,2934,2882,3274,3191,3388
2020,31,2847,1865,1087,1010,1689,3121,2765,2929,3130,2934,2882,3274,3191
2020,32,2188,2847,1865,1087,1010,1689,3121,2765,2929,3130,2934,2882,3274
2020,33,1640,2188,2847,1865,1087,1010,1689,3121,2765,2929,3130,2934,2882
2020,34,1648,1640,2188,2847,1865,1087,1010,1689,3121,2765,2929,3130,2934
2020,35,1942,1648,1640,2188,2847,1865,1087,1010,1689,3121,2765,2929,3130
2020,36,1511,1942,1648,1640,2188,2847,1865,1087,1010,1689,3121,2765,2929
2020,37,1891,1511,1942,1648,1640,2188,2847,1865,1087,1010,1689,3121,2765
2020,38,2269,1891,1511,1942,1648,1640,2188,2847,1865,1087,1010,1689,3121
2020,39,2272,2269,1891,1511,1942,1648,1640,2188,2847,1865,1087,1010,1689
2020,40,1843,2272,2269,1891,1511,1942,1648,1640,2188,2847,1865,1087,1010
2020,41,2057,1843,2272,2269,1891,1511,1942,1648,1640,2188,2847,1865,1087
2020,42,2119,2057,1843,2272,2269,1891,1511,1942,1648,1640,2188,2847,1865
2020,43,2454,2119,2057,1843,2272,2269,1891,1511,1942,1648,1640,2188,2847
2020,44,2363,2454,2119,2057,1843,2272,2269,1891,1511,1942,1648,1640,2188
2020,45,2955,2363,2454,2119,2057,1843,2272,2269,1891,1511,1942,1648,1640
2020,46,3011,2955,2363,2454,2119,2057,1843,2272,2269,1891,1511,1942,1648
2020,47,2774,3011,2955,2363,2454,2119,2057,1843,2272,2269,1891,1511,1942
2020,48,2033,2774,3011,2955,2363,2454,2119,2057,1843,2272,2269,1891,1511
2020,49,2128,2033,2774,3011,2955,2363,2454,2119,2057,1843,2272,2269,1891
2020,50,2540,2128,2033,2774,3011,2955,2363,2454,2119,2057,1843,2272,2269
2020,51,1851,2540,2128,2033,2774,3011,2955,2363,2454,2119,2057,1843,2272
2020,52,3398,1851,2540,2128,2033,2774,3011,2955,2363,2454,2119,2057,1843
2020,53,2366,3398,1851,2540,2128,2033,2774,3011,2955,2363,2454,2119,2057
2021,1,2115,2366,3398,1851,2540,2128,2033,2774,3011,2955,2363,2454,2119
2021,2,1702,2115,2366,3398,1851,2540,2128,2033,2774,3011,2955,2363,2454
2021,3,2102,1702,2115,2366,3398,1851,2540,2128,2033,2774,3011,2955,2363
2021,4,2147,2102,1702,2115,2366,3398,1851,2540,2128,2033,2774,3011,2955
2021,5,2136,2147,2102,1702,2115,2366,3398,1851,2540,2128,2033,2774,3011
2021,6,2518,2136,2147,2102,1702,2115,2366,3398,1851,2540,2128,2033,2774
2021,7,2679,2518,2136,2147,2102,1702,2115,2366,3398,1851,2540,2128,2033
2021,8,2887,2679,2518,2136,2147,2102,1702,2115,2366,3398,1851,2540,2128
2021,9,2729,2887,2679,2518,2136,2147,2102,1702,2115,2366,3398,1851,2540
2021,10,2793,2729,2887,2679,2518,2136,2147,2102,1702,2115,2366,3398,1851
2021,11,2871,2793,2729,2887,2679,2518,2136,2147,2102,1702,2115,2366,3398
2021,12,2947,2871,2793,2729,2887,2679,2518,2136,2147,2102,1702,2115,2366
2021,13,2475,2947,2871,2793,2729,2887,2679,2518,2136,2147,2102,1702,2115
