STORAGE_CODE,STORAGE,INDEX,DATE,QUATER,YY_MONTH,MONTH,YY_WW,WW,DAY,WEEKDAY,INVENTORY_CELL,SUM_INVENTORY_PACK_M,INVENTORY_PACK_OK_M,INVENOTRY_PACK_NOT_OK_M,IN_PACK_D,OUT_PACK_D,INVENTORY_PACK_D,IN_PACK_AVG_M,OUT_PACK_AVG_M,INVENTORY_PACK_AVG_M,IN_CELL_AVG_W,OUT_CELL_AVG_W,INVENTORY_CELL_AVG_W,IN_PACK_AVG_W,OUT_PACK_AVG_W,INVENTORY_PACK_AVG_W,IN_PACK_AVG_W_STD,OUT_PACK_AVG_W_STD,INVENTORY_PACK_AVG_W_STD,IN_PACK_AVG_W_NORM,OUT_PACK_AVG_W_NORM,INVENTORY_PACK_AVG_W_NORM,INVENTORY_PACK_OK_M_STD,TRANSIT_INVENTORY_C,PERIODIC_INVENTORY_M,PERIODIC_INVENTORY_W,SAFETY_INVENTORY_M,SAFETY_INVENTORY_W,SAFETY_INVENTORY_W_STD,SAFETY_INVENTORY_W_LOG,INVENTORY_DAYS_M,INVENTORY_DAYS_W,INVENTORY_DAYS_W_STD,INVENTORY_DAYS_W_LOG,SAFETY_INVENTORY_POLICY,SAFETY_INVENTORY_POLICY_STD,SAFETY_INVENTORY_POLICY_Q_NORM,CMA_OK_RATE_D,CMA_OK_RATE_D_LOG,CMA_OK_RATE_D_STD,MKT_FCST_WW1_W,MKT_FCST_WW2_W,MKT_FCST_WW3_W,MKT_FCST_WW4_W,MKT_FCST_WW5_W,MKT_FCST_WW6_W,MKT_FCST_WW7_W,MKT_FCST_WW8_W,MKT_FCST_WW1_W_NORM,MKT_FCST_WW2_W_NORM,MKT_FCST_WW3_W_NORM,MKT_FCST_WW4_W_NORM,MKT_FCST_WW5_W_NORM,MKT_FCST_WW6_W_NORM,MKT_FCST_WW7_W_NORM,MKT_FCST_WW8_W_NORM,MKT_FCST_W_CR,MKT_FCST_W_CR_LOG,MKT_FCST_W_CR_S,MKT_FCST_W_CR_S_LOG,MKT_FCST_WW1_W_STD,MKT_FCST_WW2_W_STD,MKT_FCST_WW3_W_STD,MKT_FCST_WW4_W_STD,MKT_FCST_WW5_W_STD,MKT_FCST_WW6_W_STD,MKT_FCST_WW7_W_STD,MKT_FCST_WW8_W_STD,MKT_FCST_W_CR_STD,MKT_FCST_W_CR_S_STD,MKT_AFTER_1_W,MKT_AFTER_2_W,MKT_AFTER_3_W,MKT_AFTER_4_W,MKT_AFTER_5_W,MKT_AFTER_6_W,MKT_AFTER_7_W,MKT_AFTER_8_W,MKT_AFTER_1_W_STD,MKT_AFTER_2_W_STD,MKT_AFTER_3_W_STD,MKT_AFTER_4_W_STD,MKT_AFTER_5_W_STD,MKT_AFTER_6_W_STD,MKT_AFTER_7_W_STD,MKT_AFTER_8_W_STD,MKT_AFTER_1_W,MKT_AFTER_2_W,MKT_AFTER_3_W,MKT_AFTER_4_W,MKT_AFTER_5_W,MKT_AFTER_6_W,MKT_AFTER_7_W,MKT_AFTER_8_W,MKT_AFTER_1_W_STD,MKT_AFTER_2_W_STD,MKT_AFTER_3_W_STD,MKT_AFTER_4_W_STD,MKT_AFTER_5_W_STD,MKT_AFTER_6_W_STD,MKT_AFTER_7_W_STD,MKT_AFTER_8_W_STD,PP_WW1_W,PP_WW2_W,PP_WW3_W,PP_WW4_W,PP_WW5_W,PP_WW6_W,PP_WW7_W,PP_WW8_W,PP_WW1_W_STD,PP_WW2_W_STD,PP_WW3_W_STD,PP_WW4_W_STD,PP_WW5_W_STD,PP_WW6_W_STD,PP_WW7_W_STD,PP_WW8_W_STD,PP_W_CR_STD,PP_W_CR_S_STD,PP_AFTER_1_W,PP_AFTER_2_W,PP_AFTER_3_W,PP_AFTER_4_W,PP_AFTER_5_W,PP_AFTER_6_W,PP_AFTER_7_W,PP_AFTER_8_W,PP_AFTER_1_W_STD,PP_AFTER_2_W_STD,PP_AFTER_3_W_STD,PP_AFTER_4_W_STD,PP_AFTER_5_W_STD,PP_AFTER_6_W_STD,PP_AFTER_7_W_STD,PP_AFTER_8_W_STD,PP_WW1_W_NORM,PP_WW2_W_NORM,PP_WW3_W_NORM,PP_WW4_W_NORM,PP_WW5_W_NORM,PP_WW6_W_NORM,PP_WW7_W_NORM,PP_WW8_W_NORM,PP_W_CR,PP_W_CR_LOG,PP_W_CR_S,PP_W_CR_S_LOG
510E,External WH ACCU,1,2020-01-01,201901,201953,12,19_53,53,1,Wed,"32,760",1172,1172,0,0,0,364,72,41,690,2430,1890,33840,27,21,376,-0.597613,-1.201945,-2.549222,0.063298,0.083145,0.012249,-0.460265,1,0.87,0.64,14.86,16.04,#DIV/0!,2.77,16.72,17.9,#DIV/0!,2.89,0,-0.805341,0,#N/A,0.00001,-0.213259,84,84,84,84,0.00001,360,360,360,0.05263,0.05556,0.05556,0.05556,0,0.2381,0.2381,0.2381,2,7.6009,0.00001,0.00001,-1.542257,-1.596486,-1.718988,-1.989756,-2.32157,-1.557684,-1.602939,-1.698869,8.074832,-0.642404,252,420,336,336,336,538,540,684,-1.29132,-1.08714,-1.52724,-1.71036,-1.93825,-1.55206,-1.50941,-1.05731,252,420,336,336,336,538,540,684,-1.2913,-1.0871,-1.5272,-1.7104,-1.9382,-1.5521,-1.5094,-1.0559,400,400,400,400,400,400,400,400,-1.133404,-1.213352,-1.437305,-1.593172,-1.586544,-1.413748,-1.278018,-1.114109,-0.599054,-0.122782,400,800,300,540,540,600,600,750,-1.259525,-0.497192,-2.082811,-1.339888,-1.44543,-1.16969,-1.118764,-0.626135,0.26882,0.27701,0.27972,0.27972,0.28409,0.28249,0.29985,0.28531,0,0.00001,0,0.00001
510E,External WH ACCU,2,2020-01-02,201901,201953,12,19_53,53,2,Thu,"32,760",1172,1172,0,0,0,364,72,41,690,2430,1890,33840,27,21,376,-0.597613,-1.201945,-2.549222,0.063298,0.083145,0.012249,-0.460265,1,0.87,0.64,14.86,16.04,#DIV/0!,2.77,16.72,17.9,#DIV/0!,2.89,0,-0.805341,0,100.00%,0,-0.213261,84,84,84,84,0.00001,360,360,360,0.05263,0.05556,0.05556,0.05556,0,0.2381,0.2381,0.2381,2,7.6009,0.00001,0.00001,-1.542257,-1.596486,-1.718988,-1.989756,-2.32157,-1.557684,-1.602939,-1.698869,8.074832,-0.642404,252,420,336,336,336,538,540,684,-1.29132,-1.08714,-1.52724,-1.71036,-1.93825,-1.55206,-1.50941,-1.05731,252,420,336,336,336,538,540,684,-1.2913,-1.0871,-1.5272,-1.7104,-1.9382,-1.5521,-1.5094,-1.0559,400,400,400,400,400,400,400,400,-1.133404,-1.213352,-1.437305,-1.593172,-1.586544,-1.413748,-1.278018,-1.114109,-0.599054,-0.122782,400,800,300,540,540,600,600,750,-1.259525,-0.497192,-2.082811,-1.339888,-1.44543,-1.16969,-1.118764,-0.626135,0.26882,0.27701,0.27972,0.27972,0.28409,0.28249,0.29985,0.28531,0,0.00001,0,0.00001
510E,External WH ACCU,3,2020-01-03,201901,201953,12,19_53,53,3,Fri,"34,920",1172,1172,0,108,84,388,72,41,690,2430,1890,33840,27,21,376,-0.597613,-1.201945,-2.549222,0.063298,0.083145,0.012249,-0.460265,1,0.87,0.64,14.86,16.04,#DIV/0!,2.77,16.72,17.9,#DIV/0!,2.89,0,-0.805341,0,100.00%,0,-0.213261,84,84,84,84,0.00001,360,360,360,0.05263,0.05556,0.05556,0.05556,0,0.2381,0.2381,0.2381,2,7.6009,0.00001,0.00001,-1.542257,-1.596486,-1.718988,-1.989756,-2.32157,-1.557684,-1.602939,-1.698869,8.074832,-0.642404,252,420,336,336,336,538,540,684,-1.29132,-1.08714,-1.52724,-1.71036,-1.93825,-1.55206,-1.50941,-1.05731,252,420,336,336,336,538,540,684,-1.2913,-1.0871,-1.5272,-1.7104,-1.9382,-1.5521,-1.5094,-1.0559,400,400,400,400,400,400,400,400,-1.133404,-1.213352,-1.437305,-1.593172,-1.586544,-1.413748,-1.278018,-1.114109,-0.599054,-0.122782,400,800,300,540,540,600,600,750,-1.259525,-0.497192,-2.082811,-1.339888,-1.44543,-1.16969,-1.118764,-0.626135,0.26882,0.27701,0.27972,0.27972,0.28409,0.28249,0.29985,0.28531,0,0.00001,0,0.00001
510E,External WH ACCU,4,2020-01-04,201901,201953,12,19_53,53,4,Sat,"34,920",1172,1172,0,0,0,388,72,41,690,2430,1890,33840,27,21,376,-0.597613,-1.201945,-2.549222,0.063298,0.083145,0.012249,-0.460265,1,0.87,0.64,14.86,16.04,#DIV/0!,2.77,16.72,17.9,#DIV/0!,2.89,0,-0.805341,0,100.00%,0,-0.213261,84,84,84,84,0.00001,360,360,360,0.05263,0.05556,0.05556,0.05556,0,0.2381,0.2381,0.2381,2,7.6009,0.00001,0.00001,-1.542257,-1.596486,-1.718988,-1.989756,-2.32157,-1.557684,-1.602939,-1.698869,8.074832,-0.642404,252,420,336,336,336,538,540,684,-1.29132,-1.08714,-1.52724,-1.71036,-1.93825,-1.55206,-1.50941,-1.05731,252,420,336,336,336,538,540,684,-1.2913,-1.0871,-1.5272,-1.7104,-1.9382,-1.5521,-1.5094,-1.0559,400,400,400,400,400,400,400,400,-1.133404,-1.213352,-1.437305,-1.593172,-1.586544,-1.413748,-1.278018,-1.114109,-0.599054,-0.122782,400,800,300,540,540,600,600,750,-1.259525,-0.497192,-2.082811,-1.339888,-1.44543,-1.16969,-1.118764,-0.626135,0.26882,0.27701,0.27972,0.27972,0.28409,0.28249,0.29985,0.28531,0,0.00001,0,0.00001
510E,External WH ACCU,5,2020-01-05,201901,201953,12,19_53,53,5,Sun,"34,920",1172,1172,0,0,0,388,72,41,690,1152,3024,30528,13,34,339,-0.68361,-1.024542,-2.59888,0.034437,0.133032,0,-0.460265,1,0.87,0.19,14.86,8.23,#DIV/0!,2.11,16.72,10.1,#DIV/0!,2.31,0,-0.805341,0,#N/A,0.00001,-0.213259,252,252,252,252,252,336,540,540,0.15789,0.16667,0.16667,0.16667,0.16667,0.22222,0.35714,0.35714,0.08968,4.49628,0.15754,-1.84807,-1.190264,-1.227265,-1.323015,-1.573131,-1.688343,-1.623112,-1.124764,-1.196407,-0.16375,0.031734,420,336,336,336,538,540,684,580,-0.92075,-1.28681,-1.52724,-1.71036,-1.3613,-1.54587,-1.07967,-1.35837,420,336,336,336,538,540,684,580,-0.9207,-1.2868,-1.5272,-1.7104,-1.3613,-1.5459,-1.0797,-1.3614,400,400,400,400,400,400,400,400,-1.133404,-1.213352,-1.437305,-1.593172,-1.586544,-1.413748,-1.278018,-1.114109,-0.599054,-0.122782,800,300,540,540,600,600,750,630,-0.228659,-1.944266,-1.361218,-1.339888,-1.257194,-1.16969,-0.687797,-0.945456,0.26882,0.27701,0.27972,0.27972,0.28409,0.28249,0.29985,0.28531,0,0.00001,0,0.00001
510E,External WH ACCU,6,2020-01-06,202001,202001,1,20_1,1,6,Mon,"34,920",1172,1172,0,0,0,388,72,41,690,1152,3024,30528,13,34,339,-0.68361,-1.024542,-2.59888,0.034437,0.133032,0,-0.460265,1,0.87,0.19,14.86,8.23,#DIV/0!,2.11,16.72,10.1,#DIV/0!,2.31,0,-0.805341,0,100.00%,0,-0.213261,252,252,252,252,252,336,540,540,0.15789,0.16667,0.16667,0.16667,0.16667,0.22222,0.35714,0.35714,0.08968,4.49628,0.15754,-1.84807,-1.190264,-1.227265,-1.323015,-1.573131,-1.688343,-1.623112,-1.124764,-1.196407,-0.16375,0.031734,420,336,336,336,538,540,684,580,-0.92075,-1.28681,-1.52724,-1.71036,-1.3613,-1.54587,-1.07967,-1.35837,420,336,336,336,538,540,684,580,-0.9207,-1.2868,-1.5272,-1.7104,-1.3613,-1.5459,-1.0797,-1.3614,400,400,400,400,400,400,400,400,-1.133404,-1.213352,-1.437305,-1.593172,-1.586544,-1.413748,-1.278018,-1.114109,-0.599054,-0.122782,800,300,540,540,600,600,750,630,-0.228659,-1.944266,-1.361218,-1.339888,-1.257194,-1.16969,-0.687797,-0.945456,0.26882,0.27701,0.27972,0.27972,0.28409,0.28249,0.29985,0.28531,0,0.00001,0,0.00001
510E,External WH ACCU,7,2020-01-07,202001,202001,1,20_1,1,7,Tue,"27,360",1172,1172,0,0,84,304,72,41,690,1152,3024,30528,13,34,339,-0.68361,-1.024542,-2.59888,0.034437,0.133032,0,-0.460265,1,0.87,0.19,14.86,8.23,#DIV/0!,2.11,16.72,10.1,#DIV/0!,2.31,0,-0.805341,0,#N/A,0.00001,-0.213259,252,252,252,252,252,336,540,540,0.15789,0.16667,0.16667,0.16667,0.16667,0.22222,0.35714,0.35714,0.08968,4.49628,0.15754,-1.84807,-1.190264,-1.227265,-1.323015,-1.573131,-1.688343,-1.623112,-1.124764,-1.196407,-0.16375,0.031734,420,336,336,336,538,540,684,580,-0.92075,-1.28681,-1.52724,-1.71036,-1.3613,-1.54587,-1.07967,-1.35837,420,336,336,336,538,540,684,580,-0.9207,-1.2868,-1.5272,-1.7104,-1.3613,-1.5459,-1.0797,-1.3614,400,400,400,400,400,400,400,400,-1.133404,-1.213352,-1.437305,-1.593172,-1.586544,-1.413748,-1.278018,-1.114109,-0.599054,-0.122782,800,300,540,540,600,600,750,630,-0.228659,-1.944266,-1.361218,-1.339888,-1.257194,-1.16969,-0.687797,-0.945456,0.26882,0.27701,0.27972,0.27972,0.28409,0.28249,0.29985,0.28531,0,0.00001,0,0.00001
510E,External WH ACCU,8,2020-01-08,202001,202001,1,20_1,1,8,Wed,"29,880",1172,1172,0,112,84,332,72,41,690,1152,3024,30528,13,34,339,-0.68361,-1.024542,-2.59888,0.034437,0.133032,0,-0.460265,1,0.87,0.19,14.86,8.23,#DIV/0!,2.11,16.72,10.1,#DIV/0!,2.31,0,-0.805341,0,92.53%,7.76106,1.19393,252,252,252,252,252,336,540,540,0.15789,0.16667,0.16667,0.16667,0.16667,0.22222,0.35714,0.35714,0.08968,4.49628,0.15754,-1.84807,-1.190264,-1.227265,-1.323015,-1.573131,-1.688343,-1.623112,-1.124764,-1.196407,-0.16375,0.031734,420,336,336,336,538,540,684,580,-0.92075,-1.28681,-1.52724,-1.71036,-1.3613,-1.54587,-1.07967,-1.35837,420,336,336,336,538,540,684,580,-0.9207,-1.2868,-1.5272,-1.7104,-1.3613,-1.5459,-1.0797,-1.3614,400,400,400,400,400,400,400,400,-1.133404,-1.213352,-1.437305,-1.593172,-1.586544,-1.413748,-1.278018,-1.114109,-0.599054,-0.122782,800,300,540,540,600,600,750,630,-0.228659,-1.944266,-1.361218,-1.339888,-1.257194,-1.16969,-0.687797,-0.945456,0.26882,0.27701,0.27972,0.27972,0.28409,0.28249,0.29985,0.28531,0,0.00001,0,0.00001
510E,External WH ACCU,9,2020-01-09,202001,202001,1,20_1,1,10,Thu,"25,560",1172,1172,0,¡â48,0,284,72,41,690,1152,3024,30528,13,34,339,-0.68361,-1.024542,-2.59888,0.034437,0.133032,0,-0.460265,1,0.87,0.19,14.86,8.23,#DIV/0!,2.11,16.72,10.1,#DIV/0!,2.31,0,-0.805341,0,93.57%,6.64451,0.991484,252,252,252,252,252,336,540,540,0.15789,0.16667,0.16667,0.16667,0.16667,0.22222,0.35714,0.35714,0.08968,4.49628,0.15754,-1.84807,-1.190264,-1.227265,-1.323015,-1.573131,-1.688343,-1.623112,-1.124764,-1.196407,-0.16375,0.031734,420,336,336,336,538,540,684,580,-0.92075,-1.28681,-1.52724,-1.71036,-1.3613,-1.54587,-1.07967,-1.35837,420,336,336,336,538,540,684,580,-0.9207,-1.2868,-1.5272,-1.7104,-1.3613,-1.5459,-1.0797,-1.3614,400,400,400,400,400,400,400,400,-1.133404,-1.213352,-1.437305,-1.593172,-1.586544,-1.413748,-1.278018,-1.114109,-0.599054,-0.122782,800,300,540,540,600,600,750,630,-0.228659,-1.944266,-1.361218,-1.339888,-1.257194,-1.16969,-0.687797,-0.945456,0.26882,0.27701,0.27972,0.27972,0.28409,0.28249,0.29985,0.28531,0,0.00001,0,0.00001
510E,External WH ACCU,10,2020-01-10,202001,202001,1,20_1,1,12,Fri,"28,800",1172,1172,0,104,68,320,72,41,690,9411,2700,46517,105,30,517,-0.127827,-1.075228,-2.359147,0.220964,0.118778,0.059134,-0.460265,1,0.87,1.74,14.86,15.36,#DIV/0!,2.73,16.72,17.23,#DIV/0!,2.85,0,-0.805341,0,100.00%,0,-0.213261,420,420,420,420,420,420,336,720,0.26316,0.27778,0.27778,0.27778,0.27778,0.27778,0.22222,0.47619,0.1119,4.71765,0.20788,-1.57079,-0.838271,-0.858045,-0.927041,-1.156505,-1.266192,-1.394114,-1.666696,-0.693946,-0.067912,0.247155,420,336,420,504,588,684,588,672,-0.92075,-1.28681,-1.31018,-1.24653,-1.21849,-1.10009,-1.36616,-1.09205,420,336,420,504,588,684,588,672,-0.9207,-1.2868,-1.3102,-1.2465,-1.2185,-1.1001,-1.3662,-1.0912,657,800,800,800,800,800,800,800,-0.545846,-0.250786,-0.385279,-0.453661,-0.423724,-0.33504,-0.231566,-0.125373,-0.562938,-0.122782,720,540,540,600,600,750,630,"1,047",-0.434833,-1.24967,-1.361218,-1.170623,-1.257194,-0.708223,-1.032571,0.164186,0.44153,0.55402,0.55944,0.55944,0.56818,0.56497,0.5997,0.57061,0.02554,3.24008,0.06756,4.21303
