Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,2019-12,2019-12,2020-01,2020-01,2020-01,2020-01,2020-01,2020-02,2020-02,2020-02,2020-02,2020-02,2020-03,2020-03,2020-03,2020-03,2020-03,2020-03,2020-04,2020-04,2020-04,2020-04,2020-04,2020-05,2020-05,2020-05,2020-05,2020-05,2020-06,2020-06,2020-06,2020-06,2020-06,2020-07,2020-07,2020-07,2020-07,2020-07,2020-08,2020-08,2020-08,2020-08,2020-08,2020-08,2020-09,2020-09,2020-09,2020-09,2020-09,2020-10,2020-10,2020-10,2020-10,2020-10,2020-11,2020-11,2020-11,2020-11,2020-11,2020-11,2020-12,2020-12,2020-12,2020-12,2020-12,2021-01
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,W52,W01,W01,W02,W03,W04,W05,W05,W06,W07,W08,W09,W09,W10,W11,W12,W13,W14,W14,W15,W16,W17,W18,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W27,W28,W29,W30,W31,W31,W32,W33,W34,W35,W36,W36,W37,W38,W39,W40,W40,W41,W42,W43,W44,W44,W45,W46,W47,W48,W49,W49,W50,W51,W52,W53,W53
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200107_V001,MF_W_20200107_V001,,,,,,252,420,336,336,,336,538,540,684,,580,704,812,890,"1,112",,"1,112","1,112","1,112","1,112",,"1,112","1,112","1,112","1,112","1,112","1,112","1,112","1,112","1,112",,412,,,,,724,738,782,888,876,,880,904,"1,040",962,,960,944,936,700,,698,874,948,"1,150","1,166",,"1,148",576,,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200114_V001,MF_W_20200114_V001,,,,,84,168,420,420,336,,420,504,588,684,,588,672,"1,030","1,034","1,112",,"1,112","1,112","1,112","1,112",,"1,112","1,112","1,112","1,112","1,112","1,112","1,112","1,112","1,112",,456,,,,,788,800,842,888,880,,878,960,"1,052",978,,976,974,940,918,,698,874,948,"1,150","1,166",,"1,148",576,932,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200121_V001,MF_W_20200121_V001,,,,,84,236,84,420,336,,420,504,588,504,,588,672,"1,030","1,034",890,,890,"1,112",890,"1,026",,872,510,902,784,986,980,960,924,838,,456,,,,,788,800,842,888,880,,878,960,"1,052",978,,976,974,940,710,,714,884,950,"1,062","1,068",,"1,052",570,932,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200128_V001,MF_W_20200128_V001,,,,,84,236,252,332,336,,420,504,504,588,,504,672,"1,030","1,260",866,,890,"1,112",890,"1,040",,874,510,894,784,984,982,964,924,850,,452,,,,,788,800,842,888,880,,878,960,"1,052",978,,976,974,940,710,,714,884,950,"1,062","1,068",,"1,052",570,932,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200204_V001,MF_W_20200204_V001,,,,,84,236,252,332,504,,420,504,504,588,,504,672,"1,030","1,260",866,,890,"1,112",890,"1,040",,874,510,894,784,984,982,964,924,850,,452,,,,,788,800,842,888,880,,878,960,"1,052",978,,976,974,940,710,,714,884,950,"1,062","1,068",,"1,052",570,932,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200211_V001,MF_W_20200211_V001,,,,,84,236,252,332,504,,420,504,588,504,,504,672,672,"1,008",420,672,924,"1,124",888,880,168,868,548,924,816,"1,034","1,030","1,040","1,000",336,626,480,,,,,838,870,890,948,170,756,924,930,"1,100",716,336,"1,046","1,036","1,028",746,,752,918,956,"1,072",252,840,"1,070",632,994,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200218_V001,MF_W_20200218_V001,,,,,84,236,252,332,504,,420,336,588,504,,504,672,672,"1,008",420,672,924,"1,124",888,880,168,868,548,924,816,"1,034","1,030","1,040","1,000",336,626,480,,,,,838,870,890,948,170,756,924,930,"1,100",716,336,"1,046","1,036","1,028",746,,752,918,956,"1,072",252,840,"1,070",632,994,,
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200225_V001,MF_W_20200225_V001,,,,,84,236,252,332,504,,420,336,672,504,,504,672,672,"1,008",420,672,924,"1,124",888,880,168,868,548,924,816,"1,034","1,030","1,040","1,000",336,626,480,,,,,838,870,890,948,170,756,924,930,"1,100",716,336,"1,046","1,036","1,028",746,,752,918,956,"1,072",252,840,"1,070",632,994,,
