Prev_Product_1,Prev_Product_2,Prev_Product_3,Prev_Product_4,Prev_Product_5,Prev_Product_6,Prev_Product_7,Prev_Product_8,Post_Product_1,Post_Product_2,Post_Product_3,Post_Product_4,Post_Product_5,Post_Product_6,Post_Product_7,Post_Product_8,Var_Product_1,Var_Product_2,Var_Product_3,Var_Product_4,Var_Product_5,Var_Product_6,Var_Product_7,Var_Product_8,YEAR,WW,Products
792,420,573,607,502,827,593,383,860,500,-999,700,1080,1080,1080,1080,900,900,900,900,900,735,735,736,2020,10,784.0
784,792,420,573,607,502,827,593,610,-999,700,1080,1080,1080,720,1080,860,900,900,900,900,900,910,1100,2020,11,842.0
842,784,792,420,573,607,502,827,-999,700,1080,1080,1080,1080,1080,1080,610,500,900,990,990,990,944,890,2020,12,754.0
754,842,784,792,420,573,607,502,270,720,900,900,460,1000,1000,1200,-999,-999,-999,900,990,990,990,945,2020,13,70.0
70,754,842,784,792,420,573,607,720,900,900,360,1000,1000,1000,1000,270,700,700,700,900,165,825,825,2020,14,-999.0
-999,70,754,842,784,792,420,573,-999,1000,1000,1000,1000,1000,1000,800,720,720,1080,1080,1080,360,-999,360,2020,15,156.0
156,-999,70,754,842,784,792,420,-999,1150,1200,1000,1200,1000,1000,1200,-999,900,900,1080,1080,1080,1080,1080,2020,16,1.0
1,156,-999,70,754,842,784,792,500,1000,1000,1000,1000,1000,1000,1000,-999,1000,900,900,1080,1080,1080,1080,2020,17,9.0
9,1,156,-999,70,754,842,784,-999,-999,400,1000,1000,1000,1000,1000,500,1150,1000,360,460,1080,720,1080,2020,18,78.0
78,9,1,156,-999,70,754,842,750,1100,1100,1320,1210,1320,-999,-999,-999,1000,1200,1000,1000,1000,1080,1080,2020,19,365.0
365,78,9,1,156,-999,70,754,1100,1100,1320,1210,1320,440,-999,-999,750,-999,1000,1000,1000,1000,1000,1080,2020,20,796.0
796,365,78,9,1,156,-999,70,1210,1320,1210,1320,440,-999,-999,220,1100,1100,400,1000,1200,1000,1000,1200,2020,21,1106.0
1106,796,365,78,9,1,156,-999,1310,1320,1320,560,-999,-999,220,880,1210,1100,1100,1000,1000,1000,1000,1000,2020,22,586.0
586,1106,796,365,78,9,1,156,1320,1210,880,-999,-999,220,1100,1100,1310,1320,1320,1320,1000,1000,1000,800,2020,23,1221.0
1221,586,1106,796,365,78,9,1,1210,440,-999,-999,220,1100,1100,1100,1320,1320,1210,1210,1210,1000,1000,1200,2020,24,1165.0
1165,1221,586,1106,796,365,78,9,441,-999,-999,440,1100,1100,1320,1320,1210,1210,1320,1320,1320,1320,1000,1000,2020,25,1568.0
1568,1165,1221,586,1106,796,365,78,-999,-999,440,1100,1100,1210,1320,1320,441,440,880,560,440,440,-999,1000,2020,26,460.0
460,1568,1165,1221,586,1106,796,365,-999,220,1100,1100,1100,1210,1210,1210,-999,-999,-999,-999,-999,-999,-999,-999,2020,27,-999.0
-999,460,1568,1165,1221,586,1106,796,226,1100,1100,1100,1210,1210,1210,1320,-999,-999,-999,-999,-999,-999,-999,-999,2020,28,-999.0
-999,-999,460,1568,1165,1221,586,1106,1100,1100,1100,990,1320,1210,1210,1430,226,220,440,440,220,220,220,220,2020,29,289.0
289,-999,-999,460,1568,1165,1221,586,1100,1100,880,1320,1210,1210,1430,1320,1100,1100,1100,1100,1100,1100,1100,880,2020,30,995.0
995,289,-999,-999,460,1568,1165,1221,1100,1160,1320,1320,1430,1320,1320,1320,1100,1100,1100,1100,1100,1100,1100,1100,2020,31,911.0
911,995,289,-999,-999,460,1568,1165,1160,1320,1320,1430,1320,1320,1320,1210,1100,1100,1100,1100,1100,1210,1320,1100,2020,32,945.0
945,911,995,289,-999,-999,460,1568,1320,1430,1430,1320,1320,1210,1210,1100,1160,1160,880,990,1210,1210,1320,1320,2020,33,751.0
751,945,911,995,289,-999,-999,460,1430,1430,1430,1320,1320,1210,1100,990,1320,1320,1320,1320,1320,1210,1210,1320,2020,34,1391.0
1391,751,945,911,995,289,-999,-999,1430,1430,1320,1320,1320,1100,1100,990,1430,1430,1320,1320,1210,1210,1210,1210,2020,35,1288.0
1288,1391,751,945,911,995,289,-999,1430,1320,1320,1320,1100,880,1100,1100,1430,1430,1430,1430,1430,1210,1210,1320,2020,36,1277.0
1277,1288,1391,751,945,911,995,289,1320,1320,1320,1210,990,1100,1100,1210,1430,1430,1430,1320,1320,1320,1430,1430,2020,37,1268.0
1268,1277,1288,1391,751,945,911,995,1320,1320,1210,1100,1100,1100,1100,1100,1320,1320,1320,1320,1320,1320,1320,1320,2020,38,1340.0
1340,1268,1277,1288,1391,751,945,911,1210,1210,1100,1100,880,1100,880,990,1320,1320,1320,1320,1320,1210,1320,1320,2020,39,1163.0
1163,1340,1268,1277,1288,1391,751,945,1210,1100,1100,880,1100,880,990,1100,1210,1320,1320,1320,1320,1210,1210,1210,2020,40,1010.0
1010,1163,1340,1268,1277,1288,1391,751,1210,1100,880,1100,1100,1210,1210,1100,1210,1210,1210,1210,1100,1100,1100,1100,2020,41,883.0
883,1010,1163,1340,1268,1277,1288,1391,1100,880,1100,1100,1210,1210,1210,880,1210,1100,1100,1100,990,880,1100,990,2020,42,1246.0
1246,883,1010,1163,1340,1268,1277,1288,1100,1100,1100,1210,1210,1100,770,440,1100,1100,1100,1100,1100,1100,1100,990,2020,43,1138.0
1138,1246,883,1010,1163,1340,1268,1277,1100,1100,1210,1210,880,880,440,1100,1100,880,880,880,880,1100,1100,1100,2020,44,1094.0
1094,1138,1246,883,1010,1163,1340,1268,1100,1210,1210,1100,660,440,1100,1210,1100,1100,1100,1100,1100,1100,1100,1210,2020,45,1186.0
1186,1094,1138,1246,883,1010,1163,1340,880,1210,1210,660,440,1100,1210,1210,1100,1100,1100,1100,1100,880,880,1100,2020,46,1245.0
1245,1186,1094,1138,1246,883,1010,1163,1210,1210,880,440,1100,1210,1210,1210,880,1210,1210,1210,1210,1210,990,990,2020,47,604.0
604,1245,1186,1094,1138,1246,883,1010,1210,880,440,1100,1210,1210,1210,1100,1210,1210,1210,1210,1210,1210,1210,1100,2020,48,1195.0
1195,604,1245,1186,1094,1138,1246,883,880,440,1210,1210,1210,1100,1100,1100,1210,1210,1210,1100,880,1100,1210,1100,2020,49,1372.0
1372,1195,604,1245,1186,1094,1138,1246,440,1100,1210,1210,1100,1100,1100,1210,880,880,880,660,660,880,770,880,2020,50,550.0
550,1372,1195,604,1245,1186,1094,1138,1110,1110,1100,1000,1200,1100,1100,1210,440,440,440,440,440,440,440,440,2020,51,894.0
894,550,1372,1195,604,1245,1186,1094,1110,880,1000,1210,1210,1100,1210,1100,1110,1100,1210,1100,1100,1100,1100,1100,2020,52,1056.0
1056,894,550,1372,1195,604,1245,1186,880,1000,1210,1210,1100,1210,1100,1210,1110,1110,1210,1210,1210,1210,1210,1210,2020,53,711.0
711,1056,894,550,1372,1195,604,1245,1100,1210,1210,1210,1210,1210,1320,1320,880,880,1100,1210,1210,1210,1210,1210,2021,1,842.0
842,711,1056,894,550,1372,1195,604,1210,1320,1320,1210,1210,1320,1320,1210,1100,1000,1000,1000,1100,1100,1210,1210,2021,2,1285.0
1285,842,711,1056,894,550,1372,1195,1210,1320,1320,1210,1320,1320,1210,1320,1210,1210,1210,1210,1200,1100,1100,1100,2021,3,1254.0
1254,1285,842,711,1056,894,550,1372,1210,1320,1320,1210,1210,1320,1210,1100,1210,1320,1210,1210,1210,1100,1100,1100,2021,4,1102.0
1102,1254,1285,842,711,1056,894,550,1320,1320,1110,1210,1210,1210,1100,1100,1210,1320,1320,1210,1100,1100,1100,1210,2021,5,1274.0
1274,1102,1254,1285,842,711,1056,894,1320,1110,1210,1210,1210,1100,1100,1210,1320,1320,1320,1210,1210,1210,1210,1210,2021,6,1243.0
1243,1274,1102,1254,1285,842,711,1056,1100,1210,1210,1210,1100,880,1320,1320,1320,1320,1320,1210,1210,1210,1100,1100,2021,7,1327.0
1327,1243,1274,1102,1254,1285,842,711,1210,1210,1210,1210,1210,1210,1320,1210,1100,1110,1110,1210,1320,1320,1320,1210,2021,8,870.0
