Prev_Product_1,Prev_Product_2,Prev_Product_3,Prev_Product_4,Prev_Product_5,Prev_Product_6,Prev_Product_7,Prev_Product_8,Prev_Product_9,Prev_Product_10,Prev_Product_11,Prev_Product_12,Post_Product_1,Post_Product_2,Post_Product_3,Post_Product_4,Post_Product_5,Post_Product_6,Post_Product_7,Post_Product_8,Post_Product_9,Post_Product_10,Post_Product_11,Post_Product_12,Var_Product_1,Var_Product_2,Var_Product_3,Var_Product_4,Var_Product_5,Var_Product_6,Var_Product_7,Var_Product_8,Var_Product_9,Var_Product_10,Var_Product_11,Var_Product_12,YEAR,WW,Products
70,754,842,784,792,420,573,607,502,827,593,383,720,900,900,360,1000,1000,1000,1000,1000,1400,1200,800,270,700,700,700,900,165,825,825,890,890,1100,1100,2020,14,-999
-999,70,754,842,784,792,420,573,607,502,827,593,-999,1000,1000,1000,1000,1000,1000,800,1200,800,-999,-999,720,720,1080,1080,1080,360,-999,360,600,1096,1096,1000,2020,15,156
156,-999,70,754,842,784,792,420,573,607,502,827,-999,1150,1200,1000,1200,1000,1000,1200,800,-999,-999,-999,-999,900,900,1080,1080,1080,1080,1080,1080,825,822,822,2020,16,1
1,156,-999,70,754,842,784,792,420,573,607,502,500,1000,1000,1000,1000,1000,1000,1000,-999,-999,-999,800,-999,1000,900,900,1080,1080,1080,1080,1080,1080,900,822,2020,17,9
9,1,156,-999,70,754,842,784,792,420,573,607,-999,-999,400,1000,1000,1000,1000,1000,1000,-999,-999,-999,500,1150,1000,360,460,1080,720,1080,1080,1080,1080,900,2020,18,78
78,9,1,156,-999,70,754,842,784,792,420,573,750,1100,1100,1320,1210,1320,-999,-999,-999,-999,-999,-999,-999,1000,1200,1000,1000,1000,1080,1080,1080,1080,1080,1080,2020,19,365
365,78,9,1,156,-999,70,754,842,784,792,420,1100,1100,1320,1210,1320,440,-999,-999,-999,-999,-999,660,750,-999,1000,1000,1000,1000,1000,1080,1080,1080,1080,1080,2020,20,796
796,365,78,9,1,156,-999,70,754,842,784,792,1210,1320,1210,1320,440,-999,-999,220,1210,1210,1210,1210,1100,1100,400,1000,1200,1000,1000,1200,1080,1080,1080,1080,2020,21,1106
1106,796,365,78,9,1,156,-999,70,754,842,784,1310,1320,1320,560,-999,-999,220,880,1100,1320,1320,1100,1210,1100,1100,1000,1000,1000,1000,1000,800,1080,1080,1080,2020,22,586
586,1106,796,365,78,9,1,156,-999,70,754,842,1320,1210,880,-999,-999,220,1100,1100,1100,1320,1100,1320,1310,1320,1320,1320,1000,1000,1000,800,1000,1200,1080,1080,2020,23,1221
1221,586,1106,796,365,78,9,1,156,-999,70,754,1210,440,-999,-999,220,1100,1100,1100,1320,1100,1320,1100,1320,1320,1210,1210,1210,1000,1000,1200,1200,1400,1400,1080,2020,24,1165
1165,1221,586,1106,796,365,78,9,1,156,-999,70,441,-999,-999,440,1100,1100,1320,1320,1320,1320,1100,1320,1210,1210,1320,1320,1320,1320,1000,1000,800,800,1200,1400,2020,25,1568
1568,1165,1221,586,1106,796,365,78,9,1,156,-999,-999,-999,440,1100,1100,1210,1320,1320,1320,1100,1320,1320,441,440,880,560,440,440,-999,1000,-999,-999,-999,800,2020,26,460
460,1568,1165,1221,586,1106,796,365,78,9,1,156,-999,220,1100,1100,1100,1210,1210,1210,1320,1210,1210,1320,-999,-999,-999,-999,-999,-999,-999,-999,1000,-999,-999,-999,2020,27,-999
