Prev_Sale_12,Prev_Sale_11,Prev_Sale_10,Prev_Sale_9,Prev_Sale_8,Prev_Sale_7,Prev_Sale_6,Prev_Sale_5,Prev_Sale_4,Prev_Sale_3,Prev_Sale_2,Prev_Sale_1,Post_Sale_1,Post_Sale_2,Post_Sale_3,Post_Sale_4,Post_Sale_5,Post_Sale_6,Post_Sale_7,Post_Sale_8,Post_Sale_9,Post_Sale_10,Post_Sale_11,Post_Sale_12,Var_Sale_1,Var_Sale_2,Var_Sale_3,Var_Sale_4,Var_Sale_5,Var_Sale_6,Var_Sale_7,Var_Sale_8,Var_Sale_9,Var_Sale_10,Var_Sale_11,Var_Sale_12,YEAR,WW,Sales
236,252,332,504,420,336,672,503,588,504,84,-999,-999,-999,596,672,1008,1260,1260,1260,1272,1260,1272,1272,-999,672,588,672,1092,1092,1092,866,866,890,1112,1112,2020,14,-999
252,332,504,420,336,672,503,588,503,84,-999,-999,-999,512,672,840,1176,756,1176,1356,1202,1262,1232,168,-999,-999,588,672,588,924,924,924,890,890,890,1112,2020,15,-999
332,504,420,336,672,503,588,503,84,-999,-999,-999,92,588,840,"1,260",840,"1,176","1,356","1,176","1,256","1,232",488,612,-999,-999,336,672,672,672,1124,1124,1124,1112,1112,1112,2020,16,-999
504,420,336,672,503,588,503,84,-999,-999,-999,-999,92,588,"1,176",840,"1,260","1,020","1,260","1,272","1,242",940,310,28,92,512,596,588,924,1092,1092,888,888,888,890,890,2020,17,-999
420,336,672,503,588,503,84,-999,-999,-999,-999,-999,420,840,924,"1,092","1,104","1,176","1,188","1,188",864,536,28,8,92,588,672,672,1112,756,756,924,1048,1048,1048,1040,2020,18,-999
336,672,503,588,-999,-999,-999,-999,-999,-999,-999,-999,"1,008",672,"1,260","1,008","1,260","1,260","1,260",1176,336,-999,-999,-999,420,588,840,840,1008,1112,934,682,842,868,868,868,2020,19,335
672,503,588,-999,-999,-999,-999,-999,-999,-999,-999,-999,756,"1,176","1,008","1,344","1,176","1,260",1260,840,-999,-999,63,1176,1008,840,1176,1260,1176,1260,1112,756,730,550,548,548,2020,20,819
503,588,-999,-999,-999,-999,-999,-999,-999,-999,336,819,"1,176","1,008","1,344","1,260","1,176",1512,688,-999,-999,63,1176,"1,155",756,672,924,840,840,756,1260,1112,880,918,916,924,2020,21,840
588,-999,-999,-999,-999,-999,-999,-999,-999,336,819,840,1008,1260,1260,1344,1428,820,-999,-999,63,"1,176","1,155","1,176",1176,1176,1260,1092,1260,1176,1176,1260,1112,812,812,816,2020,22,840
-999,-999,-999,-999,-999,-999,-999,-999,335,819,840,840,1260,1260,1260,1512,924,-999,-999,63,"1,008","1,239","1,176","1,239",1008,1008,1008,1008,1104,1020,1356,1356,1272,1112,1012,1010,2020,23,924
-999,-999,-999,-999,-999,-999,-999,335,819,840,840,924,1260,1260,1512,504,-999,-999,63,1092,"1,239","1,176","1,239",1176,1260,1260,1344,1344,1260,1176,1260,1176,1202,1260,1112,1048,2020,24,1258
-999,-999,-999,-999,-999,-999,335,819,840,840,924,1260,1176,1512,504,-999,-999,63,1260,1155,"1,176","1,155",1596,"1,155",1260,1260,1260,1260,1176,1260,1188,1272,1256,1262,1272,1112,2020,25,1344
-999,-999,-999,-999,-999,335,819,840,840,924,1260,1344,1512,420,-999,-999,63,1260,1155,1176,"1,155",1596,"1,155","1,092",1176,1260,1260,1344,1176,1260,1260,1188,1242,1232,1232,1272,2020,26,1176
