Division,Site,Plant,Building,Operation,Line,Line Name,Prod Type Group,Prod Type,Material,Nick Name,Basic Week,Plan Week,Basic Date,Plan Date,Plan Qty,Result Qty
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201901,201901,2019-01-06,2018-12-31,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201901,201901,2019-01-06,2019-01-01,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201901,201901,2019-01-06,2019-01-02,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201901,201901,2019-01-06,2019-01-03,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201901,201901,2019-01-06,2019-01-04,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201901,201901,2019-01-06,2019-01-05,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201902,201902,2019-01-13,2019-01-07,43,49
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201902,201902,2019-01-13,2019-01-08,44,44
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201902,201902,2019-01-13,2019-01-09,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201902,201902,2019-01-13,2019-01-10,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201902,201902,2019-01-13,2019-01-11,4,7
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201903,201903,2019-01-20,2019-01-14,5,5
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201903,201903,2019-01-20,2019-01-15,40,39
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201903,201903,2019-01-20,2019-01-16,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201903,201903,2019-01-20,2019-01-17,40,39
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201903,201903,2019-01-20,2019-01-18,40,41
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201903,201903,2019-01-20,2019-01-19,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201904,201904,2019-01-27,2019-01-21,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201904,201904,2019-01-27,2019-01-22,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201904,201904,2019-01-27,2019-01-23,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201904,201904,2019-01-27,2019-01-24,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201904,201904,2019-01-27,2019-01-25,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201904,201904,2019-01-27,2019-01-26,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201904,201904,2019-01-27,2019-01-27,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201905,201905,2019-02-03,2019-01-28,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201905,201905,2019-02-03,2019-01-29,40,46
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201905,201905,2019-02-03,2019-01-30,40,40
81,A001,A040,오창 자동차 1동 Pack,P9500,P1Q03,,MASS,MASS,APRSAKANG-A1,RSA-KANGOO,201905,201905,2019-02-03,2019-01-31,40,40
