Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,2020-09,2020-09,2020-09,2020-09,2020-09,2020-10,2020-10,2020-10,2020-10,2020-10,2020-11,2020-11,2020-11,2020-11,2020-11,2020-11,2020-12,2020-12,2020-12,2020-12,2020-12,2021-01,2021-01,2021-01,2021-01,2021-01,2021-02,2021-02,2021-02,2021-02,2021-03,2021-03,2021-03,2021-03,2021-03,2021-04
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,Measure,W36,W37,W38,W39,W40,W40,W41,W42,W43,W44,W44,W45,W46,W47,W48,W49,W49,W50,W51,W52,W53,W53,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W13
Div,End Customer,Sales Site,Project Code,Model,Nick Name,Incoterms,FCST Type,Customs Handbook,Plant Site,Version,Version,Measure,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM,SUM
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200908_V001,MF_W_20200908_V001,,,,"1,218","1,176","1,344",420,504,"1,092","1,008","1,344",735,,"1,176","1,008","1,155","1,176",168,"1,071","1,008",819,"1,008",,63,"1,080","1,053",999,"1,053","1,134",864,"1,080","1,161","1,107","1,053","1,107",918,,675
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200915_V001,MF_W_20200915_V001,,,,"1,071","1,155","1,428",420,504,"1,092","1,008","1,428",735,,"1,260",924,"1,155","1,176",168,"1,071","1,008",819,"1,008",,63,"1,080","1,053",999,"1,053","1,134",864,"1,080","1,161","1,107","1,053","1,107",918,,675
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200922_V001,MF_W_20200922_V001,,,,"1,071","1,239","1,344",504,420,"1,092","1,008","1,344",735,,"1,260",840,"1,239","1,176",168,"1,071","1,176",819,"1,008",,63,"1,070","1,046","1,018","1,038","1,213",860,"1,131","1,170","1,098","1,068","1,167",934,,725
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20200929_V001,MF_W_20200929_V001,,,,"1,071","1,239","1,090",672,252,"1,092","1,008","1,260",735,,"1,260",840,903,"1,176",168,"1,071","1,176",819,"1,008",,63,"1,092","1,092","1,008","1,092","1,239",840,"1,155","1,176","1,092","1,092","1,155",924,336,399
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201006_V001,MF_W_20201006_V001,,,,"1,071","1,239","1,090",756,252,"1,092","1,008","1,260",819,,"1,260",672,"1,323","1,176",252,"1,071","1,260",819,"1,092",,63,"1,092","1,176","1,176","1,176","1,323",924,"1,323","1,260","1,176","1,176","1,239","1,008",336,399
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201013_V001,MF_W_20201013_V001,,,,"1,071","1,239","1,090",756,252,"1,092","1,008","1,260",735,,"1,260",672,"1,323","1,176",252,"1,071","1,260",819,"1,092",,63,"1,092","1,176","1,176","1,176","1,323",924,"1,323","1,260","1,176","1,176","1,239","1,008",336,399
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201020_V001,MF_W_20201020_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,260",735,,"1,260",756,"1,323","1,176",252,"1,071","1,260",819,"1,092",,63,"1,092","1,176","1,176","1,176","1,323",924,"1,323","1,260","1,176","1,176","1,239","1,008",336,399
81,Volvo,Volvo_BE_GNE,A18VO2003,APVCCCMA0-A2-A01,VCC-CMA,FCA,Mass,E,G481-P,MF_W_20201027_V001,MF_W_20201027_V001,,,,"1,071","1,239","1,090",756,252,"1,092",924,"1,092",735,,"1,260","1,008","1,176","1,239",168,"1,071","1,260",819,"1,092",,63,"1,092","1,176","1,176","1,176","1,323",924,"1,323","1,260","1,176","1,176","1,239","1,008",336,399
