WW,Date,tWW
201840,2018-10-01,201847
201840,2018-10-01,201849
201840,2018-10-01,201902
201840,2018-10-01,201903
201840,2018-10-01,201904
201840,2018-10-01,201906
201840,2018-10-01,201907
201840,2018-10-01,201908
201840,2018-10-01,201909
201840,2018-10-01,201910
201840,2018-10-01,201911
201840,2018-10-01,201912
201840,2018-10-01,201913
201840,2018-10-01,201914
201840,2018-10-01,201915
201840,2018-10-01,201916
201840,2018-10-01,201917
201840,2018-10-01,201918
201840,2018-10-01,201919
201840,2018-10-01,201920
201840,2018-10-01,201921
201840,2018-10-01,201922
201840,2018-10-01,201923
201840,2018-10-01,201924
201840,2018-10-01,201925
201840,2018-10-01,201926
201840,2018-10-01,201927
201840,2018-10-01,201928
201840,2018-10-01,201929
201840,2018-10-01,201930
201840,2018-10-01,201931
201840,2018-10-01,201932
201840,2018-10-01,201933
201840,2018-10-01,201934
201840,2018-10-01,201935
201840,2018-10-01,201936
201840,2018-10-01,201937
201840,2018-10-01,201938
201840,2018-10-01,201939
201841,2018-10-08,201842
201841,2018-10-08,201847
201841,2018-10-08,201849
201841,2018-10-08,201908
201841,2018-10-08,201912
201841,2018-10-08,201916
201841,2018-10-08,201919
201841,2018-10-08,201923
201841,2018-10-08,201924
201841,2018-10-08,201928
201841,2018-10-08,201929
201841,2018-10-08,201930
201841,2018-10-08,201931
201841,2018-10-08,201932
201841,2018-10-08,201933
201841,2018-10-08,201934
201841,2018-10-08,201935
201841,2018-10-08,201936
201841,2018-10-08,201937
201841,2018-10-08,201938
201841,2018-10-08,201939
201841,2018-10-08,201940
201842,2018-10-15,201842
201842,2018-10-15,201847
201842,2018-10-15,201849
201842,2018-10-15,201908
201842,2018-10-15,201912
201842,2018-10-15,201916
201842,2018-10-15,201918
201842,2018-10-15,201919
201842,2018-10-15,201920
201842,2018-10-15,201921
201842,2018-10-15,201922
201842,2018-10-15,201923
201842,2018-10-15,201928
201842,2018-10-15,201929
201842,2018-10-15,201930
201842,2018-10-15,201931
201842,2018-10-15,201934
201842,2018-10-15,201935
201842,2018-10-15,201936
201842,2018-10-15,201937
201842,2018-10-15,201938
201842,2018-10-15,201940
201842,2018-10-15,201941
201842,2018-10-15,201942
201843,2018-10-22,201847
201843,2018-10-22,201849
201843,2018-10-22,201908
201843,2018-10-22,201912
201843,2018-10-22,201916
201843,2018-10-22,201918
201843,2018-10-22,201919
201843,2018-10-22,201920
201843,2018-10-22,201921
201843,2018-10-22,201922
201843,2018-10-22,201923
201843,2018-10-22,201930
201843,2018-10-22,201931
201843,2018-10-22,201932
201843,2018-10-22,201933
201843,2018-10-22,201934
201843,2018-10-22,201935
201843,2018-10-22,201938
201843,2018-10-22,201939
201843,2018-10-22,201940
201843,2018-10-22,201942
201843,2018-10-22,201943
201844,2018-10-29,201847
201844,2018-10-29,201849
201844,2018-10-29,201850
201844,2018-10-29,201901
201844,2018-10-29,201902
201844,2018-10-29,201905
201844,2018-10-29,201906
201844,2018-10-29,201910
201844,2018-10-29,201911
201844,2018-10-29,201914
201844,2018-10-29,201915
201844,2018-10-29,201919
201844,2018-10-29,201920
201844,2018-10-29,201921
201844,2018-10-29,201924
201844,2018-10-29,201925
201844,2018-10-29,201927
201844,2018-10-29,201928
201844,2018-10-29,201929
201844,2018-10-29,201932
201844,2018-10-29,201933
201844,2018-10-29,201934
201844,2018-10-29,201936
201844,2018-10-29,201937
201844,2018-10-29,201938
201844,2018-10-29,201940
201844,2018-10-29,201941
201844,2018-10-29,201942
201844,2018-10-29,201943
201844,2018-10-29,201944
201845,2018-11-05,201847
201845,2018-11-05,201849
201845,2018-11-05,201850
201845,2018-11-05,201901
201845,2018-11-05,201902
201845,2018-11-05,201905
