Plan Week,Basic Date,Result Qty
201849,2018-12-09,109232
201850,2018-12-16,140315
201901,2019-01-06,53875
201902,2019-01-13,126495
201909,2019-03-03,8407
201910,2019-03-10,172560
201911,2019-03-17,33413
201914,2019-04-07,45535
201915,2019-04-14,129345
201916,2019-04-21,59201
201917,2019-04-28,87864
201918,2019-05-05,117902
201920,2019-05-19,155630
201921,2019-05-26,56465
201922,2019-06-02,4922
201923,2019-06-09,143140
201924,2019-06-16,141358
201926,2019-06-30,4995
201927,2019-07-07,183125
201928,2019-07-14,39333
201930,2019-07-28,202743
201931,2019-08-04,67600
201934,2019-08-25,143914
201935,2019-09-01,191653
201936,2019-09-08,199700
201937,2019-09-15,79035
201938,2019-09-22,57126
201939,2019-09-29,846
201942,2019-10-20,144834
201943,2019-10-27,176397
201944,2019-11-03,182218
201945,2019-11-10,99337
201946,2019-11-17,55318
201947,2019-11-24,132619
201949,2019-12-08,76128
201950,2019-12-15,179483
201951,2019-12-22,209658
201952,2019-12-29,116400
202001,2020-01-05,88080
202002,2020-01-12,143332
202003,2020-01-19,126497
202004,2020-01-26,46482
202005,2020-02-02,192274
202006,2020-02-09,101129
202008,2020-02-23,0
202010,2020-03-08,193220
202011,2020-03-15,185859
202012,2020-03-22,225203
202013,2020-03-29,206581
202014,2020-04-05,203704
202015,2020-04-12,101653
202016,2020-04-19,124422
202017,2020-04-26,106349
202018,2020-05-03,91138
202019,2020-05-10,17658
202021,2020-05-24,0
202022,2020-05-31,117587
202023,2020-06-07,209914
202024,2020-06-14,216149
202025,2020-06-21,242020
202026,2020-06-28,284555
202027,2020-07-05,276887
202028,2020-07-12,367347
202029,2020-07-19,291009
202030,2020-07-26,286525
202031,2020-08-02,148328
202032,2020-08-09,95149
202033,2020-08-16,150111
202034,2020-08-23,162776
202035,2020-08-30,181416
202036,2020-09-06,164771
202037,2020-09-13,153757
202038,2020-09-20,183422
202039,2020-09-27,174340
202040,2020-10-04,75216
202041,2020-10-11,165344
202042,2020-10-18,304244
202043,2020-10-25,274991
202044,2020-11-01,250402
202045,2020-11-08,269441
202046,2020-11-15,286515
202047,2020-11-22,457297
202048,2020-11-29,253223
202049,2020-12-06,202715
202050,2020-12-13,222969
202051,2020-12-20,68394
202053,2021-01-03,46673
202101,2021-01-10,92711
202102,2021-01-17,167389
202103,2021-01-24,392503
202104,2021-01-31,368901
202105,2021-02-07,366318
202106,2021-02-14,364128
202107,2021-02-21,403833
202108,2021-02-28,343367
202109,2021-03-07,396048
202110,2021-03-14,387801
202111,2021-03-21,411046
202112,2021-03-28,245126
202113,2021-04-04,280688
202114,2021-04-11,237047
202115,2021-04-18,46469
202101,2021-01-10,92711
202102,2021-01-17,167389
202103,2021-01-24,392503
202104,2021-01-31,368901
202105,2021-02-07,366318
202106,2021-02-14,364128
202107,2021-02-21,403833
202108,2021-02-28,343367
202109,2021-03-07,396048
202110,2021-03-14,387801
202111,2021-03-21,411046
202112,2021-03-28,245126
202113,2021-04-04,280688
202114,2021-04-11,237047
202115,2021-04-18,46469
202116,2021-04-25,139415
202117,2021-05-02,42210
202119,2021-05-16,56617
202120,2021-05-23,148880
202121,2021-05-30,94389
202122,2021-06-06,164024
202123,2021-06-13,195552
202124,2021-06-20,174465
202125,2021-06-27,94914
202126,2021-07-04,179984
202127,2021-07-11,15759
202129,2021-07-25,129015
202130,2021-08-01,110320
