Inven Week,Date,재고수량
201901,2019-01-06,163675
201902,2019-01-13,280385
201903,2019-01-20,274289
201904,2019-01-27,221294
201905,2019-02-03,137904
201906,2019-02-10,129716
201907,2019-02-17,130079
201908,2019-02-24,101793
201909,2019-03-03,94781
201910,2019-03-10,261241
201911,2019-03-17,310160
201912,2019-03-24,286759
201913,2019-03-31,197944
201914,2019-04-07,185295
201915,2019-04-14,248115
201916,2019-04-21,290891
201917,2019-04-28,359115
201918,2019-05-05,336055
201919,2019-05-12,221116
201920,2019-05-19,285308
201921,2019-05-26,220191
201922,2019-06-02,219917
201923,2019-06-09,291115
201924,2019-06-16,347889
201925,2019-06-23,310205
201926,2019-06-30,166426
201927,2019-07-07,206830
201928,2019-07-14,247017
201929,2019-07-21,247017
201930,2019-07-28,325272
201931,2019-08-04,282010
201932,2019-08-11,282044
201933,2019-08-18,195871
201934,2019-08-25,222638
201935,2019-09-01,401894
201936,2019-09-08,595877
201937,2019-09-15,586499
201938,2019-09-22,532978
201939,2019-09-29,453086
201940,2019-10-06,295408
201941,2019-10-13,268574
201942,2019-10-20,329648
201943,2019-10-27,457456
201944,2019-11-03,628175
201945,2019-11-10,583257
201946,2019-11-17,503889
201947,2019-11-24,514039
201948,2019-12-01,402367
201949,2019-12-08,453382
201950,2019-12-15,548225
201951,2019-12-22,660010
201952,2019-12-29,704804
202001,2020-01-05,629709
202002,2020-01-12,649121
202003,2020-01-19,595718
202004,2020-01-26,561899
202005,2020-02-02,592359
202006,2020-02-09,626276
202007,2020-02-16,537030
202008,2020-02-23,433067
202009,2020-03-01,232891
202010,2020-03-08,390616
202011,2020-03-15,521018
202012,2020-03-22,593509
202013,2020-03-29,693780
202014,2020-04-05,875869
202015,2020-04-12,828364
202016,2020-04-19,841502
202017,2020-04-26,850568
202018,2020-05-03,679967
202019,2020-05-10,531332
202020,2020-05-17,461138
202021,2020-05-24,436128
202022,2020-05-31,355171
202023,2020-06-07,569349
202024,2020-06-14,600039
202025,2020-06-21,670966
202026,2020-06-28,769202
202027,2020-07-05,846436
202028,2020-07-12,945581
202029,2020-07-19,1088992
202030,2020-07-26,1008402
202031,2020-08-02,840283
202032,2020-08-09,702949
202033,2020-08-16,776196
202034,2020-08-23,843641
202035,2020-08-30,969377
202036,2020-09-06,921796
202037,2020-09-13,815885
202038,2020-09-20,799789
202039,2020-09-27,783857
202040,2020-10-04,599409
202041,2020-10-11,475433
202042,2020-10-18,646295
202043,2020-10-25,779657
202044,2020-11-01,688083
202045,2020-11-08,646901
202046,2020-11-15,678227
202047,2020-11-22,827122
202048,2020-11-29,789573
202049,2020-12-06,642683
202050,2020-12-13,553609
202051,2020-12-20,429176
202052,2020-12-27,430909
202053,2021-01-03,422602
202101,2021-01-10,515639
202102,2021-01-17,543389
202103,2021-01-24,736056
202104,2021-01-31,819596
202105,2021-02-07,948104
202106,2021-02-14,1040573
202107,2021-02-21,1174008
202108,2021-02-28,1137451
202109,2021-03-07,1154057
202110,2021-03-14,1230948
202111,2021-03-21,1246419
202112,2021-03-28,1111362
202113,2021-04-04,1160150
202114,2021-04-11,1193339
202115,2021-04-18,1002560
202116,2021-04-25,853427
202117,2021-05-02,692545
202118,2021-05-09,525471
202119,2021-05-16,558155
202120,2021-05-23,703941
202121,2021-05-30,798726
202122,2021-06-06,616334
202123,2021-06-13,559708
202124,2021-06-20,620417
202125,2021-06-27,641708
