WW,Date,tWW,QTY
201840,2018-10-01,201847,500
201840,2018-10-01,201849,98400
201840,2018-10-01,201902,4625
201840,2018-10-01,201903,62380
201840,2018-10-01,201904,38806
201840,2018-10-01,201906,14395
201840,2018-10-01,201907,62380
201840,2018-10-01,201908,131780
201840,2018-10-01,201909,62380
201840,2018-10-01,201910,62380
201840,2018-10-01,201911,3474
201840,2018-10-01,201912,112586
201840,2018-10-01,201913,62380
201840,2018-10-01,201914,62380
201840,2018-10-01,201915,62380
201840,2018-10-01,201916,131780
201840,2018-10-01,201917,62380
201840,2018-10-01,201918,62380
201840,2018-10-01,201919,166480
201840,2018-10-01,201920,62380
201840,2018-10-01,201921,62380
201840,2018-10-01,201922,67179
201840,2018-10-01,201923,310079
201840,2018-10-01,201924,310079
201840,2018-10-01,201925,67179
201840,2018-10-01,201926,67179
201840,2018-10-01,201927,40295
201840,2018-10-01,201928,310079
201840,2018-10-01,201929,310079
201840,2018-10-01,201930,310079
201840,2018-10-01,201931,448879
201840,2018-10-01,201932,535623
201840,2018-10-01,201933,312300
201840,2018-10-01,201934,242900
201840,2018-10-01,201935,242900
201840,2018-10-01,201936,543382
201840,2018-10-01,201937,552979
201840,2018-10-01,201938,552979
201840,2018-10-01,201939,520834
201841,2018-10-08,201842,10000
201841,2018-10-08,201847,500
201841,2018-10-08,201849,101100
201841,2018-10-08,201908,69400
201841,2018-10-08,201912,69400
201841,2018-10-08,201916,69400
201841,2018-10-08,201919,104100
201841,2018-10-08,201923,242900
201841,2018-10-08,201924,242900
201841,2018-10-08,201928,242900
201841,2018-10-08,201929,242900
201841,2018-10-08,201930,242900
201841,2018-10-08,201931,381700
201841,2018-10-08,201932,485800
201841,2018-10-08,201933,312300
201841,2018-10-08,201934,242900
201841,2018-10-08,201935,242900
201841,2018-10-08,201936,485800
201841,2018-10-08,201937,485800
201841,2018-10-08,201938,485800
201841,2018-10-08,201939,485800
201841,2018-10-08,201940,2057385
201842,2018-10-15,201842,9943
201842,2018-10-15,201847,500
201842,2018-10-15,201849,101100
201842,2018-10-15,201908,69400
201842,2018-10-15,201912,69400
201842,2018-10-15,201916,69400
201842,2018-10-15,201918,347000
