Inven Week,Date,재고수량
201901,2019-01-06,96768
201902,2019-01-13,68589
201903,2019-01-20,74685
201904,2019-01-27,97818
201905,2019-02-03,152133
201906,2019-02-10,68161
201907,2019-02-17,31775
201908,2019-02-24,60061
201909,2019-03-03,111491
201910,2019-03-10,44287
201911,2019-03-17,48625
201912,2019-03-24,27489
201913,2019-03-31,58304
201914,2019-04-07,60866
201915,2019-04-14,54443
201916,2019-04-21,13093
201917,2019-04-28,32749
201918,2019-05-05,56163
201919,2019-05-12,92713
201920,2019-05-19,123709
201921,2019-05-26,143658
201922,2019-06-02,71718
201923,2019-06-09,98300
201924,2019-06-16,163478
201925,2019-06-23,198642
201926,2019-06-30,166385
201927,2019-07-07,178630
201928,2019-07-14,31133
201929,2019-07-21,31133
201930,2019-07-28,106355
201931,2019-08-04,111607
201932,2019-08-11,81333
201933,2019-08-18,160755
201934,2019-08-25,155329
201935,2019-09-01,120825
201936,2019-09-08,73999
201937,2019-09-15,128770
201938,2019-09-22,186364
201939,2019-09-29,180594
201940,2019-10-06,114478
201941,2019-10-13,86934
201942,2019-10-20,84330
201943,2019-10-27,66121
201944,2019-11-03,59855
201945,2019-11-10,108466
201946,2019-11-17,153359
201947,2019-11-24,178142
201948,2019-12-01,177609
201949,2019-12-08,132191
201950,2019-12-15,84971
201951,2019-12-22,88526
201952,2019-12-29,130058
202001,2020-01-05,181023
202002,2020-01-12,165823
202003,2020-01-19,224763
202004,2020-01-26,122287
202005,2020-02-02,157895
202006,2020-02-09,151794
202007,2020-02-16,167474
202008,2020-02-23,106236
202009,2020-03-01,169135
202010,2020-03-08,90081
202011,2020-03-15,84995
202012,2020-03-22,137738
202013,2020-03-29,167702
202014,2020-04-05,178185
202015,2020-04-12,277379
202016,2020-04-19,309908
202017,2020-04-26,291756
202018,2020-05-03,339672
202019,2020-05-10,374805
202020,2020-05-17,342541
202021,2020-05-24,265306
202022,2020-05-31,128749
202023,2020-06-07,124421
202024,2020-06-14,222314
202025,2020-06-21,158539
202026,2020-06-28,138284
202027,2020-07-05,208714
202028,2020-07-12,530214
202029,2020-07-19,391401
202030,2020-07-26,478727
202031,2020-08-02,486998
202032,2020-08-09,628732
202033,2020-08-16,479556
202034,2020-08-23,404625
202035,2020-08-30,246815
202036,2020-09-06,289294
202037,2020-09-13,305102
202038,2020-09-20,297620
202039,2020-09-27,260944
202040,2020-10-04,271314
202041,2020-10-11,273349
202042,2020-10-18,124769
202043,2020-10-25,99439
202044,2020-11-01,122692
202045,2020-11-08,259402
202046,2020-11-15,277149
202047,2020-11-22,303857
202048,2020-11-29,349598
202049,2020-12-06,199527
202050,2020-12-13,191791
202051,2020-12-20,78151
202052,2020-12-27,74685
202053,2021-01-03,88259
202101,2021-01-10,87933
202102,2021-01-17,212452
202103,2021-01-24,125386
202104,2021-01-31,231640
202105,2021-02-07,272837
202106,2021-02-14,305570
202107,2021-02-21,288688
202108,2021-02-28,244396
202109,2021-03-07,336558
202110,2021-03-14,329912
202111,2021-03-21,437487
202112,2021-03-28,449024
202113,2021-04-04,434065
202114,2021-04-11,592563
202115,2021-04-18,406903
202116,2021-04-25,378066
202117,2021-05-02,413705
202118,2021-05-09,580779
202119,2021-05-16,604710
202120,2021-05-23,486752
202121,2021-05-30,183850
202122,2021-06-06,428942
202123,2021-06-13,424080
202124,2021-06-20,537806
202125,2021-06-27,611051
