,ww,202113,202112,202111,202110,202109,202108,202107,202106,202105,202104,202103,prod_hat
0,202114,416000,416000,416000,416000,416000,390000,390000,192000,390000,390000,390000,311774.5587158203
1,202115,208000,208000,208000,208000,416000,422500,422500,208000,422500,422500,422500,177053.01342773438
2,202116,208000,208000,208000,208000,208000,422500,422500,208000,422500,422500,422500,218491.662109375
3,202117,208000,208000,210500,208000,208000,389500,389500,208000,389500,422500,422500,220863.66967773438
4,202118,208000,208000,208000,208000,208000,192000,192000,192000,192000,192000,192000,148593.4970703125
5,202119,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,177013.81591796875
6,202120,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,208000,182070.81005859375
7,202121,208000,208000,389500,389500,389500,389500,389500,208000,389500,208000,208000,171167.19805908203
8,202122,340000,208000,422500,422500,422500,422500,422500,208000,422500,389500,208000,213498.63244628906
9,202123,390000,390000,390000,390000,390000,390000,390000,192000,390000,390000,192000,309161.3159790039
10,202124,422500,422500,422500,422500,422500,422500,604000,208000,604000,422500,422500,369862.01416015625
11,202125,422500,422500,422500,422500,422500,422500,422500,208000,422500,422500,422500,398477.7979736328
12,202126,422500,422500,422500,422500,422500,422500,422500,208000,422500,208000,208000,431597.58337402344
13,202127,402000,402000,402000,402000,402000,402000,402000,198000,402000,198000,198000,405776.03552246094
14,202128,435500,435500,435500,435500,435500,435500,214500,214500,214500,401500,214500,371277.87365722656
15,202129,435500,435500,435500,435500,435500,435500,401500,214500,401500,435500,401500,373657.2607421875
16,202130,435500,435500,435500,435500,435500,435500,435500,214500,435500,214500,435500,401245.8319091797
